province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,date,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Alberta, 20,3964,312,3122,18,2024-05-18,6,0,27,80,2930,15,754,2,2,51,1,0,754,7,705,2,744,75,754,22
Atlantic, 20,2828,241,2666,1,2024-05-18,0,19,20,65,2531,35,889,4,5,91,1,0,889,17,889,44,889,141,889,30
British Columbia, 20,2978,357,3089,18,2024-05-18,4,3,55,42,3083,16,699,1,2,64,2,0,699,18,699,29,672,116,672,18
CANADA, 20,25114,2048,23638,40,2024-05-18,18,68,155,568,21224,212,8099,8,11,372,6,166,8139,128,8081,290,6563,689,6592,170
Centre-du-Québec, 20,1423,58,1341,0,2024-05-18,0,8,8,39,765,12,34,0,0,6,0,0,34,3,34,0,N.C.,N.C.,34,2
EORLA, 20,521,31,318,0,2024-05-18,0,3,3,3,318,3,24,0,0,1,0,0,24,0,24,1,24,4,24,0
Manitoba, 20,1138,105,856,0,2024-05-18,0,0,0,23,856,4,83,0,0,7,0,0,83,3,92,2,83,13,92,0
Montréal-Laval, 20,1365,62,2083,0,2024-05-18,0,8,8,58,1230,16,798,0,2,40,1,0,798,25,799,29,N.C.,N.C.,798,22
Montérégie, 20,1020,47,1257,0,2024-05-18,0,5,5,26,1256,16,4,0,0,0,0,0,4,0,4,0,N.C.,N.C.,4,0
New Brunswick, 20,792,31,788,1,2024-05-18,0,1,2,28,788,5,79,0,0,11,0,0,79,2,79,2,79,17,79,2
Newfoundland, 20,849,94,769,0,2024-05-18,0,3,3,9,769,25,769,3,5,78,1,0,769,14,769,37,769,116,769,26
Northwest Territories, 20,22,0,22,0,2024-05-18,0,0,0,4,22,1,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,22,0,22,0,22,5,N.C.,N.C.
Nova Scotia, 20,1100,112,1026,0,2024-05-18,0,15,15,27,891,5,27,0,0,1,0,0,27,1,27,3,27,2,27,2
Nunavut, 20,166,9,140,0,2024-05-18,0,1,1,6,140,14,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
Ouest du Québec, 20,810,28,544,0,2024-05-18,0,0,0,21,541,6,18,0,0,1,0,0,18,1,18,3,N.C.,N.C.,18,0
