province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Alberta, 2,5555,592,5132,234,24,21,279,67,4802,376,1229,5,4,12,0,0,1229,16,1167,1,1213,62,1229,47
Atlantic, 2,4333,519,3864,49,4,557,610,12,3383,310,924,1,4,4,7,0,924,14,924,13,924,39,924,28
British Columbia, 2,4862,593,4866,118,22,7,482,16,4640,364,1035,2,5,9,5,0,1033,27,1033,44,996,102,996,33
CANADA, 2,44057,5734,39214,729,325,3215,4403,219,34310,2134,12445,12,14,55,15,56,10645,139,12411,171,10516,449,10144,314
Centre-du-Québec, 2,3033,500,1586,0,0,211,211,3,1012,53,25,0,0,1,1,0,25,2,25,0,N.C.,N.C.,26,0
EORLA, 2,1565,178,857,0,0,102,102,7,857,37,61,0,0,1,0,0,61,0,61,1,61,3,61,0
Manitoba, 2,1805,142,1391,4,10,120,134,4,1391,104,117,0,0,0,0,0,117,4,135,12,117,7,135,5
Montréal-Laval, 2,3242,501,3889,1,0,485,486,7,2113,128,968,1,1,4,0,0,968,22,971,13,N.C.,N.C.,968,28
Montérégie, 2,1767,292,1882,0,0,222,222,3,1851,114,9,0,0,0,0,0,9,0,9,0,N.C.,N.C.,9,0
New Brunswick, 2,1345,121,1353,49,4,169,222,2,1327,108,109,0,0,0,0,0,109,2,109,0,109,10,109,4
Newfoundland, 2,974,146,752,0,0,107,107,0,752,88,752,1,4,4,7,0,752,9,752,13,752,23,752,24
Northwest Territories, 2,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.R.,N.R.,N.C.,N.C.
Nova Scotia, 2,1684,235,1465,0,0,191,191,10,1010,93,41,0,0,0,0,0,41,2,41,0,41,3,41,0
Nunavut, 2,127,5,120,0,1,19,20,0,120,31,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
Ouest du Québec, 2,1736,279,856,0,0,109,109,4,847,33,20,1,0,0,0,0,20,3,20,0,N.C.,N.C.,20,0
P.H.O.L. - Hamilton, 2,301,84,243,19,10,9,26,1,243,8,160,0,0,0,0,2,160,0,160,4,160,21,160,5
P.H.O.L. - Kingston, 2,217,48,127,15,6,9,24,0,127,4,98,0,0,0,0,2,98,1,98,0,98,2,98,1
P.H.O.L. - London, 2,463,125,380,30,18,7,37,4,380,17,319,0,0,0,0,5,319,1,319,2,319,11,319,9
P.H.O.L. - Orillia, 2,37,4,63,7,3,1,11,0,63,1,61,0,0,0,0,2,61,0,61,0,61,2,61,1
P.H.O.L. - Ottawa, 2,413,120,280,36,11,16,36,1,280,7,181,0,0,0,0,6,181,2,181,3,181,5,181,6
P.H.O.L. - Peterborough, 2,59,14,68,32,39,0,12,0,66,5,58,0,0,0,0,0,58,3,58,0,58,2,58,2
P.H.O.L. - Sault Ste. Marie, 2,19,3,38,10,0,1,11,0,38,6,36,0,0,0,0,0,36,0,36,0,36,1,36,0
P.H.O.L. - Sudbury, 2,19,1,29,0,0,0,0,0,29,5,25,0,0,0,0,0,25,0,25,0,25,2,25,1
P.H.O.L. - Thunder Bay, 2,95,22,76,3,0,1,3,0,75,3,44,0,0,0,0,0,44,0,44,0,44,1,44,0
P.H.O.L. - Timmins, 2,37,9,41,3,1,3,5,0,41,3,37,0,0,0,0,0,37,0,37,0,37,1,37,0
P.H.O.L. - Toronto, 2,847,245,1975,120,117,25,181,7,1973,76,1819,0,0,0,0,32,1820,14,1819,16,1819,63,1819,101
Prairies, 2,9439,939,7706,238,34,178,450,107,7193,552,1477,6,4,12,0,0,1477,22,1433,41,1461,80,1495,53
Prince Edward Island, 2,330,17,294,0,0,90,90,0,294,21,22,0,0,0,0,0,22,1,22,0,22,3,22,0
Province of Ontario, 2,11355,1621,9990,321,264,537,916,59,9985,326,7128,1,0,24,2,56,5313,32,7135,43,7135,228,5021,158
Province of Québec, 2,13890,2052,12628,2,0,1917,1919,24,8950,550,1881,2,1,6,1,0,1898,44,1886,30,N.C.,N.C.,1708,42
Québec-Chaudière-Appalaches, 2,1998,275,2272,0,0,462,462,5,2159,153,792,0,0,1,0,0,809,13,794,14,N.C.,N.C.,618,12
Région Nord-Est, 2,2114,205,2143,1,0,428,429,2,968,69,67,0,0,0,0,0,67,4,67,3,N.C.,N.C.,67,2
Saskatchewan, 2,2079,205,1183,0,0,37,37,36,1000,72,131,1,0,0,0,0,131,2,131,28,131,11,131,1
Sault Area Hospital, 2,201,21,145,7,1,7,15,0,145,13,110,1,0,0,1,0,110,0,110,0,110,2,110,0
Shared Hospital Laboratory, 2,2308,187,1828,34,53,14,101,10,1828,40,1818,0,0,0,0,6,0,0,1823,5,1823,21,1823,27
Sick Kids Hospital - Toronto, 2,131,18,118,5,5,0,10,2,118,6,118,0,0,3,1,0,118,2,118,1,118,13,118,4
St. Joseph's - Hamilton, 2,2386,282,2114,0,0,223,223,14,2114,60,2114,0,0,20,0,0,2114,9,2114,10,2114,76,0,0
St. Joseph's - London, 2,1037,135,764,0,0,68,68,6,764,29,49,0,0,0,0,1,51,0,51,1,51,1,51,1
Territories, 2,178,10,160,1,1,19,26,1,159,32,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.R.,N.R.,N.C.,N.C.
UHN / Mount Sinai Hospital, 2,1220,125,844,0,0,51,51,7,844,6,20,0,0,0,0,0,20,0,20,0,20,1,20,0
Yukon, 2,51,5,40,1,0,0,6,1,39,1,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
