province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,date,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Alberta, 42,5759,1023,2660,29,2023-10-21,5,1,35,4,2385,13,30,0,0,0,0,0,30,1,30,0,29,8,30,0
Atlantic, 42,3493,688,2029,3,2023-10-21,0,11,14,1,2015,14,498,1,2,1,7,0,498,6,498,1,498,110,498,1
British Columbia, 42,3734,633,3324,18,2023-10-21,0,0,36,4,3324,41,634,2,3,2,5,0,634,20,634,6,596,104,596,1
CANADA, 42,39259,6975,22389,69,2023-10-21,11,59,153,15,20844,518,7993,13,11,17,19,65,8000,118,8039,40,6944,892,6410,9
Centre-du-Québec, 42,2222,435,478,0,2023-10-21,0,2,2,1,475,22,36,3,0,0,0,0,36,3,36,1,N.C.,N.C.,36,0
EORLA, 42,1491,202,534,0,2023-10-21,0,3,3,3,534,61,34,0,0,1,0,0,34,0,34,1,34,9,34,1
Manitoba, 42,1664,280,1347,0,2023-10-21,0,7,7,0,1347,9,90,0,0,0,5,0,90,1,131,1,90,31,131,0
Montréal-Laval, 42,3026,450,1307,0,2023-10-21,0,5,5,0,1164,75,683,1,2,5,0,0,683,15,683,7,N.C.,N.C.,683,5
Montérégie, 42,1556,316,813,0,2023-10-21,0,2,2,0,765,27,13,0,0,0,0,0,13,0,13,0,N.C.,N.C.,13,0
New Brunswick, 42,961,158,812,3,2023-10-21,0,0,3,0,798,2,67,0,1,0,1,0,67,0,67,0,67,22,67,0
Newfoundland, 42,571,108,387,0,2023-10-21,0,4,4,0,387,4,387,0,1,1,5,0,387,3,387,1,387,69,387,1
Northwest Territories, 42,37,6,32,0,2023-10-21,0,0,0,0,32,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,32,12,N.C.,N.C.
Nova Scotia, 42,1683,383,713,0,2023-10-21,0,6,6,1,713,8,34,1,0,0,1,0,34,3,34,0,34,13,34,0
Nunavut, 42,117,24,65,0,2023-10-21,0,0,0,0,65,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
Ouest du Québec, 42,1951,457,609,0,2023-10-21,0,5,5,0,608,21,12,0,0,0,0,0,12,3,12,0,N.C.,N.C.,12,0
P.H.O.L. - Hamilton, 42,232,87,182,2,2023-10-21,0,0,0,0,182,1,147,0,0,0,0,5,147,1,147,4,147,18,147,0
P.H.O.L. - Kingston, 42,250,72,162,0,2023-10-21,0,0,0,0,162,1,122,0,0,0,0,3,122,1,122,0,122,21,122,0
P.H.O.L. - London, 42,549,165,373,0,2023-10-21,2,0,2,0,373,2,276,0,0,0,0,2,276,0,276,0,276,29,276,0
P.H.O.L. - Orillia, 42,23,6,55,0,2023-10-21,0,0,0,0,55,2,54,0,0,0,0,3,54,2,54,0,54,18,54,0
P.H.O.L. - Ottawa, 42,407,145,234,8,2023-10-21,0,0,8,0,234,2,149,0,0,0,0,9,149,0,149,1,149,27,149,0
P.H.O.L. - Peterborough, 42,76,23,98,0,2023-10-21,0,0,0,0,98,18,77,0,0,0,0,4,77,1,77,0,77,7,77,0
P.H.O.L. - Sault Ste. Marie, 42,23,22,15,0,2023-10-21,0,0,0,0,15,0,9,0,0,0,0,0,9,0,9,0,9,0,9,0
P.H.O.L. - Sudbury, 42,19,5,24,0,2023-10-21,0,0,0,0,24,0,23,0,0,0,0,0,23,0,23,0,23,8,23,0
P.H.O.L. - Thunder Bay, 42,69,28,34,0,2023-10-21,0,0,0,0,34,0,30,0,0,0,0,0,30,0,30,0,30,2,30,0
P.H.O.L. - Timmins, 42,24,2,19,0,2023-10-21,0,0,0,0,19,0,18,0,0,0,0,1,18,0,18,0,18,1,18,0
P.H.O.L. - Toronto, 42,594,213,1055,8,2023-10-21,2,0,8,0,1055,17,931,0,0,0,0,29,931,16,931,6,931,171,931,0
Prairies, 42,9954,1707,4970,29,2023-10-21,5,18,52,4,4660,23,522,0,1,0,6,0,522,14,563,2,521,93,563,0
Prince Edward Island, 42,278,39,117,0,2023-10-21,0,1,1,0,117,0,10,0,0,0,0,0,10,0,10,0,10,6,10,0
Province of Ontario, 42,9300,1568,6834,19,2023-10-21,6,11,32,5,6834,254,5292,4,1,9,0,65,5291,40,5297,17,5297,573,3706,2
Province of Québec, 42,12588,2344,5107,0,2023-10-21,0,19,19,1,3886,186,1047,6,4,5,1,0,1055,38,1047,14,N.C.,N.C.,1047,5
Québec-Chaudière-Appalaches, 42,2084,369,589,0,2023-10-21,0,1,1,0,589,30,244,0,1,0,1,0,252,17,244,2,N.C.,N.C.,244,0
Région Nord-Est, 42,1749,317,1311,0,2023-10-21,0,4,4,0,285,11,59,2,1,0,0,0,59,0,59,4,N.C.,N.C.,59,0
Saskatchewan, 42,2531,404,963,0,2023-10-21,0,10,10,0,928,1,402,0,1,0,1,0,402,12,402,1,402,54,402,0
Sault Area Hospital, 42,171,17,110,0,2023-10-21,0,0,0,0,110,0,75,0,0,0,0,0,75,1,75,0,75,10,75,0
Shared Hospital Laboratory, 42,1447,124,1447,1,2023-10-21,2,0,3,0,1447,61,1447,0,0,0,0,7,1446,6,1452,0,1452,66,1452,1
Sick Kids Hospital - Toronto, 42,120,6,112,0,2023-10-21,0,0,0,0,112,11,112,4,1,1,0,0,112,3,112,0,112,39,112,0
St. Joseph's - Hamilton, 42,1866,197,1591,0,2023-10-21,0,5,5,1,1591,68,1591,0,0,6,0,0,1591,8,1591,5,1591,130,0,0
St. Joseph's - London, 42,980,156,170,0,2023-10-21,0,0,0,0,170,6,170,0,0,0,0,2,170,1,170,0,170,16,170,0
Territories, 42,190,35,125,0,2023-10-21,0,0,0,0,125,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,32,12,N.C.,N.C.
UHN / Mount Sinai Hospital, 42,959,98,619,0,2023-10-21,0,3,3,1,619,4,27,0,0,1,0,0,27,0,27,0,27,1,27,0
Yukon, 42,36,5,28,0,2023-10-21,0,0,0,0,28,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
