province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,date,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Alberta, 4,5039,468,4326,52,2024-01-27,16,9,98,88,4086,251,1010,3,1,12,0,0,1009,16,966,2,1002,60,1010,39
Atlantic, 4,3784,359,3461,39,2024-01-27,1,465,505,47,3067,307,834,1,1,1,3,0,834,24,834,16,834,39,834,44
British Columbia, 4,4467,522,4601,128,2024-01-27,21,11,486,41,3642,327,894,0,2,8,3,0,894,31,894,42,859,74,859,35
CANADA, 4,36924,3751,34655,404,2024-01-27,87,3060,3884,360,29388,1738,10541,4,5,48,8,55,10593,164,10570,205,8771,366,8641,446
Centre-du-Québec, 4,2506,220,1405,0,2024-01-27,0,282,282,5,892,48,26,0,0,1,0,0,26,1,26,2,N.C.,N.C.,26,5
EORLA, 4,1267,125,730,0,2024-01-27,0,82,82,11,730,16,55,0,0,1,0,0,55,0,55,0,55,8,55,1
Manitoba, 4,1555,120,1248,1,2024-01-27,3,49,53,6,1248,90,87,0,0,0,0,0,87,1,115,13,87,6,115,4
Montréal-Laval, 4,2511,239,3767,0,2024-01-27,0,623,623,11,1918,74,908,0,0,2,1,0,908,17,911,12,N.C.,N.C.,908,46
Montérégie, 4,1398,172,1624,0,2024-01-27,0,203,203,2,1616,89,9,0,0,0,0,0,9,1,9,0,N.C.,N.C.,9,1
New Brunswick, 4,1131,104,1149,39,2024-01-27,1,47,87,6,1139,135,108,0,0,0,0,0,108,11,108,1,108,17,108,9
Newfoundland, 4,832,55,671,0,2024-01-27,0,111,111,2,671,70,671,0,1,1,3,0,671,13,671,14,671,19,671,33
Northwest Territories, 4,44,2,44,1,2024-01-27,0,0,1,0,44,15,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,44,4,N.C.,N.C.
Nova Scotia, 4,1563,187,1393,0,2024-01-27,0,250,250,36,1009,68,30,0,0,0,0,0,30,0,30,0,30,1,30,0
Nunavut, 4,95,5,86,0,2024-01-27,0,0,0,0,86,25,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
Ouest du Québec, 4,1388,192,695,0,2024-01-27,0,99,99,4,685,26,13,0,0,0,0,0,13,1,13,0,N.C.,N.C.,13,3
P.H.O.L. - Hamilton, 4,219,54,183,3,2024-01-27,1,8,11,0,183,2,135,0,0,0,0,4,135,3,135,3,135,9,135,25
P.H.O.L. - Kingston, 4,196,61,154,6,2024-01-27,0,7,13,0,154,12,86,0,0,0,0,1,86,0,86,0,86,1,86,1
P.H.O.L. - London, 4,386,69,339,11,2024-01-27,4,14,27,2,338,25,286,0,0,0,0,12,286,1,286,4,286,5,286,24
P.H.O.L. - Orillia, 4,12,5,30,2,2024-01-27,0,2,4,0,30,2,30,0,0,0,0,0,30,0,30,0,30,0,30,2
P.H.O.L. - Ottawa, 4,356,128,302,8,2024-01-27,1,20,28,1,300,3,154,0,0,0,0,2,154,3,154,3,154,7,154,15
P.H.O.L. - Peterborough, 4,88,16,86,3,2024-01-27,8,10,13,0,80,2,47,0,0,0,0,1,47,2,47,1,47,4,47,3
P.H.O.L. - Sault Ste. Marie, 4,12,4,22,3,2024-01-27,0,1,4,0,22,5,14,0,0,0,0,0,14,0,14,0,14,0,14,0
P.H.O.L. - Sudbury, 4,22,1,30,3,2024-01-27,0,5,8,0,30,3,20,0,0,0,0,0,20,0,20,0,20,0,20,0
P.H.O.L. - Thunder Bay, 4,51,8,30,0,2024-01-27,0,1,1,1,30,2,23,0,0,0,0,0,23,0,23,4,23,0,23,0
P.H.O.L. - Timmins, 4,32,8,32,4,2024-01-27,0,3,7,0,32,0,29,0,0,0,0,0,29,0,29,0,29,2,29,0
P.H.O.L. - Toronto, 4,498,112,1268,77,2024-01-27,9,53,135,7,1264,42,1165,0,0,0,0,22,1165,12,1165,18,1165,38,1165,111
Prairies, 4,8317,742,6961,53,2024-01-27,19,69,162,194,6552,420,1460,3,2,13,1,0,1459,24,1444,61,1452,85,1488,57
Prince Edward Island, 4,258,13,248,0,2024-01-27,0,57,57,3,248,34,25,1,0,0,0,0,25,0,25,1,25,2,25,2
Province of Ontario, 4,9137,1042,8179,182,2024-01-27,46,526,738,47,8165,213,5581,0,0,23,0,55,5578,41,5582,59,5582,164,3845,219
