province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Alberta, 6,4803,479,4472,55,23,4,87,142,4231,248,1205,4,0,17,0,0,1203,10,1166,0,1182,85,1205,63
Atlantic, 6,3499,308,3230,39,0,361,400,64,2949,297,782,0,2,2,2,0,782,27,782,23,782,69,782,42
British Columbia, 6,3936,414,3988,58,20,8,316,48,3805,247,861,4,6,16,3,0,861,56,861,65,810,102,810,55
CANADA, 6,34561,3033,32439,279,91,2707,3302,538,28292,1467,10260,10,9,58,5,72,10305,182,10265,259,8381,507,8310,573
Centre-du-Québec, 6,2450,157,1451,0,0,328,328,11,928,44,33,0,0,0,0,0,33,1,33,1,N.C.,N.C.,34,10
EORLA, 6,1066,71,618,0,0,63,63,11,618,13,46,0,1,1,0,0,46,0,46,0,46,4,46,0
Manitoba, 6,1483,159,1128,0,0,14,14,17,1128,103,104,0,0,0,0,0,104,0,124,11,104,14,124,7
Montréal-Laval, 6,2221,161,3403,0,0,498,498,15,1784,82,920,0,0,5,0,0,920,22,920,17,N.C.,N.C.,920,90
Montérégie, 6,1328,123,1520,0,0,216,216,8,1511,50,7,0,0,0,0,0,7,1,7,0,N.C.,N.C.,7,0
New Brunswick, 6,1174,101,1215,39,0,49,88,34,1214,152,142,0,0,0,0,0,142,16,142,9,142,44,142,14
Newfoundland, 6,757,69,588,0,0,104,104,4,588,72,588,0,2,2,2,0,588,10,588,13,588,14,588,27
Northwest Territories, 6,31,3,31,0,0,0,0,0,31,9,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,31,3,31,0,31,5,N.C.,N.C.
Nova Scotia, 6,1368,133,1234,0,0,193,193,22,954,35,30,0,0,0,0,0,30,1,30,0,30,4,30,0
Nunavut, 6,120,7,95,0,0,0,0,4,95,21,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
Ouest du Québec, 6,1316,118,686,0,0,100,100,10,673,21,17,0,0,1,0,0,17,2,17,0,N.C.,N.C.,17,4
P.H.O.L. - Hamilton, 6,181,29,173,10,3,7,18,5,173,1,144,0,0,0,0,7,144,4,144,4,144,11,144,17
P.H.O.L. - Kingston, 6,196,28,126,5,0,3,8,0,126,1,75,0,0,0,0,0,75,0,75,1,75,3,75,4
P.H.O.L. - London, 6,354,58,318,22,7,17,45,3,318,10,278,0,0,0,0,9,278,1,278,3,278,4,278,40
P.H.O.L. - Orillia, 6,23,4,38,2,1,1,4,0,38,1,35,0,0,0,0,1,35,0,35,7,35,0,35,0
P.H.O.L. - Ottawa, 6,295,97,199,4,2,11,16,1,199,3,115,0,0,0,0,9,115,0,115,2,115,3,115,8
P.H.O.L. - Peterborough, 6,51,11,65,2,0,5,7,0,64,4,49,0,0,0,0,0,49,1,49,3,49,3,49,4
P.H.O.L. - Sault Ste. Marie, 6,9,1,18,2,0,0,2,0,18,2,16,0,0,0,0,0,16,0,16,0,16,1,16,7
P.H.O.L. - Sudbury, 6,55,12,58,4,1,8,13,0,58,1,28,0,0,0,0,0,28,0,28,0,28,0,28,1
P.H.O.L. - Thunder Bay, 6,43,10,32,2,0,0,2,0,32,1,23,0,0,0,0,1,23,0,23,2,23,1,23,1
P.H.O.L. - Timmins, 6,38,1,45,7,0,2,9,0,45,1,35,0,0,0,0,0,35,0,35,2,35,0,35,3
P.H.O.L. - Toronto, 6,401,72,809,19,14,12,39,14,809,12,762,0,0,0,0,33,762,11,762,20,762,41,762,83
Prairies, 6,7990,813,6882,55,23,36,119,220,6490,428,1714,5,0,20,0,0,1712,15,1695,44,1691,127,1734,89
Prince Edward Island, 6,200,5,193,0,0,15,15,4,193,38,22,0,0,0,0,0,22,0,22,1,22,7,22,1
Province of Ontario, 6,8391,711,7281,127,48,378,543,106,7283,116,5070,0,1,12,0,72,5068,33,5067,79,5067,204,3332,234
Province of Québec, 6,10549,773,10899,0,0,1924,1924,96,7606,349,1833,1,0,8,0,0,1851,48,1829,48,N.C.,N.C.,1652,153
Québec-Chaudière-Appalaches, 6,1662,115,2103,0,0,513,513,34,1967,95,781,1,0,1,0,0,799,20,780,25,N.C.,N.C.,599,42
Région Nord-Est, 6,1572,99,1736,0,0,269,269,18,743,57,75,0,0,1,0,0,75,2,72,5,N.C.,N.C.,75,7
Saskatchewan, 6,1704,175,1282,0,0,18,18,61,1131,77,405,1,0,3,0,0,405,5,405,33,405,28,405,19
Sault Area Hospital, 6,210,32,148,7,1,1,9,0,148,12,122,0,0,0,0,0,122,1,122,2,122,9,122,4
Shared Hospital Laboratory, 6,1835,58,1465,41,19,18,78,12,1468,18,1467,0,0,0,0,11,1465,7,1464,7,1464,38,1464,50
Sick Kids Hospital - Toronto, 6,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.
St. Joseph's - Hamilton, 6,1839,116,1735,0,0,150,150,53,1735,23,1735,0,0,11,0,0,1735,6,1735,26,1735,78,0,0
St. Joseph's - London, 6,859,61,702,0,0,61,61,6,702,13,64,0,0,0,0,1,64,2,64,0,64,5,64,6
Territories, 6,196,14,159,0,0,0,0,4,159,30,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,31,3,31,0,31,5,N.C.,N.C.
UHN / Mount Sinai Hospital, 6,936,50,732,0,0,19,19,1,732,0,76,0,0,0,0,0,76,0,76,0,76,3,76,6
Yukon, 6,45,4,33,0,0,0,0,0,33,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
