province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,date,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Alberta, 48,6170,747,4881,729,2023-12-02,30,71,830,21,4589,196,1170,5,5,2,0,0,1170,14,1156,0,1152,75,1170,7
Atlantic, 48,3535,802,2743,27,2023-12-02,0,107,134,3,2549,150,676,1,7,1,7,0,676,22,676,6,676,66,676,5
British Columbia, 48,3636,371,3675,85,2023-12-02,21,4,384,8,3622,231,834,9,10,2,5,0,834,26,834,22,810,129,810,17
CANADA, 48,43385,7876,31048,1014,2023-12-02,115,1638,3009,68,28621,2032,10904,28,27,24,21,66,10961,234,10950,103,9308,631,9109,68
Centre-du-Québec, 48,2762,538,1155,0,2023-12-02,0,51,51,1,798,122,59,0,0,0,1,0,59,3,59,4,N.C.,N.C.,67,0
EORLA, 48,1744,259,762,0,2023-12-02,0,77,77,1,762,87,40,0,0,0,0,0,40,0,40,0,40,5,40,0
Manitoba, 48,1845,314,1436,0,2023-12-02,9,137,146,2,1436,35,109,0,0,1,4,0,109,11,132,1,109,19,132,2
Montréal-Laval, 48,3750,841,1989,0,2023-12-02,0,82,82,2,1583,183,865,5,3,5,1,0,865,17,866,10,N.C.,N.C.,865,7
Montérégie, 48,1652,354,1178,0,2023-12-02,0,53,53,2,1141,102,11,0,0,0,0,0,11,1,11,0,N.C.,N.C.,11,0
New Brunswick, 48,1081,156,1042,27,2023-12-02,0,53,80,0,1034,37,106,1,1,0,2,0,106,7,106,0,106,22,106,2
Newfoundland, 48,749,173,524,0,2023-12-02,0,28,28,1,524,27,524,0,6,1,4,0,524,13,524,6,524,34,524,2
