province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Alberta, 39,5098,758,3034,21,0,1,22,2,2847,13,861,3,3,2,0,0,861,10,860,0,853,165,861,4
Atlantic, 39,3106,708,1403,0,0,2,2,1,1392,11,401,1,0,0,4,0,401,4,401,1,401,106,401,0
British Columbia, 39,3891,911,3588,16,3,0,49,2,3588,20,736,2,1,1,3,0,736,15,736,10,705,180,705,1
CANADA, 39,40336,7892,20939,47,7,18,99,19,19663,222,8302,15,8,12,16,60,8288,98,8355,42,7171,1343,6701,17
Centre-du-Québec, 39,2525,517,366,0,0,1,1,1,364,11,20,0,0,0,0,0,20,0,20,1,N.C.,N.C.,20,0
EORLA, 39,1279,148,439,0,0,0,0,1,439,26,26,0,0,0,0,0,1,0,26,0,26,5,26,0
Manitoba, 39,1714,335,1265,0,0,0,0,2,1265,1,68,0,1,2,3,0,68,4,121,0,68,35,121,1
Montréal-Laval, 39,3697,642,1255,0,0,7,7,0,1145,21,715,6,2,2,1,0,715,10,716,5,N.C.,N.C.,715,5
Montérégie, 39,2140,466,918,0,0,1,1,0,828,14,4,0,0,0,0,0,4,0,4,0,N.C.,N.C.,4,0
New Brunswick, 39,855,111,526,0,0,0,0,1,515,2,56,1,0,0,0,0,56,0,56,0,56,16,56,0
Newfoundland, 39,501,87,307,0,0,0,0,0,307,1,307,0,0,0,4,0,307,2,307,1,307,73,307,0
Northwest Territories, 39,23,4,17,0,0,0,0,0,17,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,17,9,N.C.,N.C.
Nova Scotia, 39,1603,489,564,0,0,2,2,0,564,8,33,0,0,0,0,0,33,2,33,0,33,15,33,0
Nunavut, 39,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
Ouest du Québec, 39,2370,711,546,0,0,0,0,1,543,15,17,1,1,0,2,0,17,1,17,0,N.C.,N.C.,17,0
P.H.O.L. - Hamilton, 39,327,95,256,0,0,0,0,0,256,6,182,0,0,0,0,3,182,3,182,1,182,56,182,0
P.H.O.L. - Kingston, 39,405,94,145,0,0,0,0,0,145,1,132,0,0,0,0,2,132,0,132,0,132,28,132,0
P.H.O.L. - London, 39,621,229,402,0,0,0,0,0,402,4,333,0,0,0,0,5,333,1,333,0,333,65,333,0
P.H.O.L. - Orillia, 39,12,1,39,1,0,1,2,0,39,0,39,0,0,0,0,0,39,0,39,2,39,7,39,0
P.H.O.L. - Ottawa, 39,287,125,177,0,0,1,1,0,177,0,114,0,0,0,0,1,114,0,114,0,114,24,114,0
P.H.O.L. - Peterborough, 39,117,44,84,0,0,0,0,1,84,1,74,0,0,0,0,3,74,2,74,1,74,26,74,0
P.H.O.L. - Sault Ste. Marie, 39,42,32,42,0,0,0,0,0,42,0,11,0,0,0,0,0,11,0,11,0,11,1,11,0
P.H.O.L. - Sudbury, 39,17,4,9,0,0,0,0,0,9,0,9,0,0,0,0,0,9,1,9,0,9,3,9,0
P.H.O.L. - Thunder Bay, 39,80,30,37,0,0,0,0,0,37,0,21,0,0,0,0,0,21,0,21,0,21,4,21,0
P.H.O.L. - Timmins, 39,23,8,18,0,0,0,0,0,18,1,18,0,0,0,0,3,18,0,18,0,18,0,18,0
P.H.O.L. - Toronto, 39,640,196,822,6,2,0,5,0,822,4,782,0,0,0,0,27,782,7,782,3,782,190,782,3
Prairies, 39,8667,1338,5021,21,0,2,23,6,4815,20,1237,3,4,4,3,0,1237,22,1289,5,1229,276,1290,6
Prince Edward Island, 39,147,21,6,0,0,0,0,0,6,0,5,0,0,0,0,0,5,0,5,0,5,2,5,0
Province of Ontario, 39,9147,1643,6071,10,4,4,15,6,6071,81,4819,0,0,5,0,60,4794,34,4819,16,4819,772,3196,5
Province of Québec, 39,15431,3283,4839,0,0,10,10,4,3780,90,1109,9,3,2,6,0,1120,23,1110,10,N.C.,N.C.,1109,5
Québec-Chaudière-Appalaches, 39,2732,520,594,0,0,1,1,1,594,21,285,1,0,0,0,0,296,8,285,4,N.C.,N.C.,285,0
Région Nord-Est, 39,1967,427,1160,0,0,0,0,1,306,8,68,1,0,0,3,0,68,4,68,0,N.C.,N.C.,68,0
Saskatchewan, 39,1855,245,722,0,0,1,1,2,703,6,308,0,0,0,0,0,308,8,308,5,308,76,308,1
Sault Area Hospital, 39,126,26,78,0,0,0,0,0,78,0,78,0,0,0,0,0,78,0,78,0,78,18,78,0
Shared Hospital Laboratory, 39,1292,151,1292,3,2,0,5,1,1292,19,1294,0,0,0,0,15,1294,10,1294,1,1294,113,1294,1
St. Joseph's - Hamilton, 39,1907,198,1623,0,0,2,2,1,1623,17,1623,0,0,5,0,0,1623,10,1623,8,1623,217,0,0
St. Joseph's - London, 39,862,146,60,0,0,0,0,0,60,0,59,0,0,0,0,1,59,0,59,0,59,13,59,1
Territories, 39,94,9,17,0,0,0,0,0,17,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,17,9,N.C.,N.C.
UHN / Mount Sinai Hospital, 39,1110,116,548,0,0,0,0,2,548,2,24,0,0,0,0,0,24,0,24,0,24,2,24,0
Yukon, 39,71,5,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
