province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,date,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Alberta, 7,4776,435,4421,40,2024-02-17,24,2,75,162,4162,183,1151,2,0,25,0,0,1151,16,1119,1,1139,92,1151,62
Atlantic, 7,3185,284,2882,18,2024-02-17,2,233,253,79,2610,212,619,1,3,2,2,0,619,8,619,18,619,39,619,39
British Columbia, 7,3725,407,3853,45,2024-02-17,24,6,262,50,3693,188,840,3,8,13,3,0,840,28,840,64,799,112,799,52
CANADA, 7,33895,2759,32746,217,2024-02-17,91,2602,3099,685,27813,1247,10283,8,11,64,6,65,10330,127,10322,297,8426,521,8396,658
Centre-du-Québec, 7,2504,134,2306,0,2024-02-17,0,500,500,42,966,48,45,0,0,0,0,0,45,3,45,6,N.C.,N.C.,45,3
EORLA, 7,N.R.,N.R.,N.R.,N.R.,2024-02-17,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.
Manitoba, 7,1472,160,1171,1,2024-02-17,0,16,17,14,1171,102,75,0,0,3,0,0,75,1,102,5,75,11,102,8
Montréal-Laval, 7,2468,146,3483,1,2024-02-17,0,469,470,14,1916,83,986,0,0,8,0,0,986,23,988,26,N.C.,N.C.,986,88
Montérégie, 7,1377,96,1520,0,2024-02-17,0,187,187,15,1519,47,11,0,0,0,0,0,11,0,11,2,N.C.,N.C.,11,0
New Brunswick, 7,1123,92,1127,18,2024-02-17,2,27,47,47,1127,105,83,0,0,0,0,0,83,2,83,1,83,16,83,2
