province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,date,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Alberta, 11,4466,281,1543,11,2024-03-16,6,1,26,101,1504,51,323,0,0,12,0,0,323,4,294,0,318,28,323,17
Atlantic, 11,3346,231,3170,14,2024-03-16,1,176,191,157,3019,155,626,2,6,3,1,0,626,9,626,48,626,41,626,31
British Columbia, 11,3901,448,3941,26,2024-03-16,11,4,171,138,3799,141,873,1,4,28,3,0,873,22,873,62,841,108,841,47
CANADA, 11,32252,1972,25733,131,2024-03-16,29,859,1156,1262,22627,718,8433,6,10,124,7,124,8480,103,8482,431,7290,462,6719,485
Centre-du-Québec, 11,2038,68,1495,0,2024-03-16,0,129,129,89,687,24,18,0,0,0,0,0,18,0,18,1,N.C.,N.C.,18,0
EORLA, 11,914,40,566,0,2024-03-16,0,35,35,49,566,8,38,0,0,1,0,0,38,2,38,5,38,6,38,3
Manitoba, 11,1549,187,1115,2,2024-03-16,0,8,10,38,1115,23,94,0,0,1,0,0,94,4,124,8,94,8,124,12
Montréal-Laval, 11,2104,56,2122,0,2024-03-16,0,125,125,55,1116,38,614,0,0,12,0,0,614,8,617,26,N.C.,N.C.,614,32
Montérégie, 11,1238,37,1136,0,2024-03-16,0,61,61,27,1129,30,11,0,0,0,0,0,11,0,11,0,N.C.,N.C.,11,0
New Brunswick, 11,1200,46,1202,14,2024-03-16,1,21,36,76,1203,76,116,0,0,2,1,0,116,2,116,11,116,16,116,4
Newfoundland, 11,565,37,452,0,2024-03-16,0,19,19,7,452,36,452,1,6,0,0,0,452,5,452,33,452,16,452,21
Northwest Territories, 11,33,1,33,0,2024-03-16,0,0,0,3,33,9,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,33,1,33,1,33,6,N.C.,N.C.
Nova Scotia, 11,1306,127,1251,0,2024-03-16,0,127,127,31,1099,23,34,1,0,1,0,0,34,0,34,2,34,5,34,2
Nunavut, 11,214,19,158,0,2024-03-16,0,0,0,16,158,31,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
Ouest du Québec, 11,1134,32,543,0,2024-03-16,0,28,28,30,539,17,11,0,0,1,0,0,11,0,11,2,N.C.,N.C.,11,1
P.H.O.L. - Hamilton, 11,153,35,163,3,2024-03-16,0,0,3,6,163,2,147,0,0,0,0,9,147,2,147,9,147,15,147,10
P.H.O.L. - Kingston, 11,128,19,93,2,2024-03-16,0,1,3,0,93,1,59,0,0,0,0,3,59,0,59,4,59,3,59,12
P.H.O.L. - London, 11,368,62,332,17,2024-03-16,1,5,23,12,332,2,284,0,0,0,0,16,284,0,284,14,284,13,284,39
P.H.O.L. - Orillia, 11,11,2,14,0,2024-03-16,0,0,0,0,14,0,13,0,0,0,0,1,13,0,13,0,13,1,13,7
P.H.O.L. - Ottawa, 11,281,42,287,11,2024-03-16,1,16,28,5,287,2,185,0,0,0,0,19,185,0,185,9,185,12,185,25
P.H.O.L. - Peterborough, 11,42,0,66,0,2024-03-16,0,2,2,2,66,0,57,0,0,0,0,3,57,1,57,3,57,2,57,11
P.H.O.L. - Sault Ste. Marie, 11,4,0,11,0,2024-03-16,0,0,0,0,11,1,11,0,0,0,0,0,11,0,11,0,11,0,11,2
P.H.O.L. - Sudbury, 11,16,0,27,3,2024-03-16,0,1,4,0,27,0,26,0,0,0,0,0,26,0,26,1,26,1,26,11
P.H.O.L. - Thunder Bay, 11,37,7,38,0,2024-03-16,0,0,0,1,38,1,33,0,0,0,0,1,33,0,33,3,33,2,33,6
P.H.O.L. - Timmins, 11,44,22,55,0,2024-03-16,0,0,0,2,55,1,37,0,0,0,0,0,37,0,37,2,37,0,37,3
P.H.O.L. - Toronto, 11,350,20,890,22,2024-03-16,2,27,50,18,890,4,868,0,0,0,0,52,869,15,868,69,868,50,868,110
Prairies, 11,7742,571,3894,13,2024-03-16,6,32,59,292,3636,132,824,1,0,26,3,0,824,15,825,30,819,57,854,56
Prince Edward Island, 11,275,21,265,0,2024-03-16,0,9,9,43,265,20,24,0,0,0,0,0,24,2,24,2,24,4,24,4
Province of Ontario, 11,7587,415,6837,77,2024-03-16,11,187,274,257,6837,59,4958,1,0,43,0,124,4959,37,4971,229,4971,250,3363,277
Province of Québec, 11,9383,285,7663,0,2024-03-16,0,460,460,398,5108,190,1152,1,0,24,0,0,1165,19,1154,61,N.C.,N.C.,1035,74
Québec-Chaudière-Appalaches, 11,1433,40,1186,0,2024-03-16,0,63,63,134,1099,52,422,0,0,6,0,0,435,7,422,26,N.C.,N.C.,305,28
Région Nord-Est, 11,1436,52,1181,0,2024-03-16,0,54,54,63,538,29,76,1,0,5,0,0,76,4,75,6,N.C.,N.C.,76,13
