province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Alberta, 43,5528,900,3042,48,13,1,62,7,2852,40,643,2,1,0,0,0,643,8,42,0,634,104,643,3
Atlantic, 43,3111,565,1979,6,0,13,19,0,1970,35,474,1,0,1,5,0,474,13,474,3,474,76,473,2
British Columbia, 43,3268,483,3028,18,2,0,44,3,3028,52,660,6,3,1,8,0,660,20,660,5,628,145,628,3
CANADA, 43,37246,6676,22025,91,19,102,233,21,20753,676,8425,20,9,15,20,41,8438,127,7843,41,7356,920,6914,23
Centre-du-Québec, 43,2407,496,513,0,0,6,6,0,510,25,39,0,2,0,0,0,39,4,39,0,N.C.,N.C.,39,0
EORLA, 43,1360,156,499,0,0,4,4,0,499,70,35,0,0,0,0,0,35,0,35,0,35,9,35,0
Manitoba, 43,1504,280,1083,0,0,4,4,0,1083,8,80,0,1,0,3,0,80,5,118,1,80,25,118,0
Montréal-Laval, 43,2687,419,1251,0,0,6,6,1,1100,84,657,4,1,5,2,0,657,20,663,10,N.C.,N.C.,657,4
Montérégie, 43,1517,281,852,0,0,12,12,2,813,51,4,0,0,0,0,0,4,0,4,0,N.C.,N.C.,4,0
New Brunswick, 43,958,138,833,6,0,0,6,0,824,13,70,0,0,0,2,0,70,3,70,0,70,20,70,0
Newfoundland, 43,509,95,367,0,0,8,8,0,367,4,367,0,0,1,2,0,367,7,367,3,367,43,367,2
Northwest Territories, 43,17,3,15,1,0,0,1,0,15,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,15,2,N.C.,N.C.
Nova Scotia, 43,1464,298,714,0,0,5,5,0,714,16,27,1,0,0,1,0,27,3,27,0,27,10,26,0
Nunavut, 43,140,35,69,0,0,0,0,0,69,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
Ouest du Québec, 43,1655,344,581,0,0,1,1,2,580,39,28,2,0,0,0,0,28,2,28,0,N.C.,N.C.,28,0
P.H.O.L. - Hamilton, 43,217,111,176,1,0,0,1,1,176,10,128,0,0,0,0,1,128,2,128,1,128,16,128,0
P.H.O.L. - Kingston, 43,265,109,184,1,0,0,0,0,184,2,129,0,0,0,0,1,129,0,129,0,129,23,129,0
P.H.O.L. - London, 43,619,216,337,0,1,0,1,0,337,10,272,0,0,0,0,7,272,1,272,0,272,35,272,0
P.H.O.L. - Orillia, 43,25,7,62,0,0,0,0,0,62,5,62,0,0,0,0,1,62,2,62,0,62,13,62,0
P.H.O.L. - Ottawa, 43,400,171,297,1,0,0,1,0,297,0,185,0,0,0,0,2,185,0,185,0,185,36,185,6
P.H.O.L. - Peterborough, 43,45,12,85,0,0,1,1,0,85,12,84,0,0,0,0,3,84,3,84,0,84,23,84,0
P.H.O.L. - Sault Ste. Marie, 43,10,10,5,0,0,0,0,0,5,0,3,0,0,0,0,1,3,0,3,0,3,0,3,0
P.H.O.L. - Sudbury, 43,16,13,16,0,0,0,0,0,16,0,15,0,0,0,0,0,15,0,15,0,15,0,15,0
P.H.O.L. - Thunder Bay, 43,79,38,46,0,0,0,0,0,46,0,24,0,0,0,0,0,24,0,24,0,24,1,24,0
P.H.O.L. - Timmins, 43,73,39,58,0,0,0,0,0,58,1,40,0,0,0,0,1,40,0,40,0,40,4,40,0
