province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,date,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Alberta, 12,4524,262,4325,24,2024-03-23,13,0,39,351,4088,100,1047,2,1,53,0,0,1046,4,984,1,1038,73,1047,68
Atlantic, 12,3206,248,3097,12,2024-03-23,0,140,152,185,2944,104,592,0,2,17,0,0,592,8,592,33,592,43,592,36
British Columbia, 12,3559,347,2451,27,2024-03-23,24,0,110,65,2338,70,777,1,2,37,5,0,777,25,777,50,753,90,753,44
CANADA, 12,30960,1601,27562,125,2024-03-23,55,658,897,1551,24122,581,9231,8,6,225,7,138,9294,127,9212,427,7986,518,7442,503
Centre-du-Québec, 12,1835,34,1657,0,2024-03-23,0,69,69,99,653,24,24,0,0,2,0,0,24,1,24,4,N.C.,N.C.,24,1
EORLA, 12,855,27,524,0,2024-03-23,0,22,22,46,524,7,36,0,0,4,0,0,36,0,36,2,36,7,36,4
Manitoba, 12,1380,123,905,1,2024-03-23,1,9,11,79,905,25,112,2,0,3,0,0,112,2,105,5,112,8,105,14
Montréal-Laval, 12,1997,39,2363,0,2024-03-23,0,91,91,72,1291,38,729,0,1,23,0,0,729,11,732,31,N.C.,N.C.,729,38
Montérégie, 12,1155,38,1420,0,2024-03-23,0,52,52,34,1416,30,8,0,0,0,0,0,8,0,8,0,N.C.,N.C.,8,0
New Brunswick, 12,1114,61,1131,12,2024-03-23,0,29,41,97,1131,39,87,0,0,6,0,0,87,3,87,4,87,12,87,5
Newfoundland, 12,523,49,421,0,2024-03-23,0,14,14,15,421,31,421,0,1,8,0,0,421,4,421,25,421,27,421,25
Northwest Territories, 12,40,2,41,0,2024-03-23,0,0,0,2,41,1,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,41,1,41,0,41,3,N.C.,N.C.
Nova Scotia, 12,1265,108,1250,0,2024-03-23,0,94,94,29,1097,25,52,0,1,0,0,0,52,0,52,1,52,1,52,4
Nunavut, 12,232,12,192,5,2024-03-23,2,0,7,43,192,15,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
Ouest du Québec, 12,1069,23,672,0,2024-03-23,0,35,35,23,666,12,13,0,0,1,0,0,13,1,13,1,N.C.,N.C.,13,0
P.H.O.L. - Hamilton, 12,122,24,159,3,2024-03-23,0,0,3,1,159,0,137,0,0,0,0,5,137,3,137,19,137,17,137,11
P.H.O.L. - Kingston, 12,156,10,124,3,2024-03-23,2,2,7,0,124,0,89,0,0,0,0,15,89,0,89,8,89,2,89,16
P.H.O.L. - London, 12,233,18,216,9,2024-03-23,0,1,10,9,216,1,204,0,0,0,0,13,204,1,204,12,204,18,204,17
P.H.O.L. - Orillia, 12,2,0,2,0,2024-03-23,0,0,0,0,2,0,2,0,0,0,0,1,2,1,2,0,2,0,2,0
P.H.O.L. - Ottawa, 12,302,76,291,1,2024-03-23,0,13,14,5,291,0,140,0,0,0,0,13,140,1,140,9,140,3,140,32
P.H.O.L. - Peterborough, 12,61,1,77,2,2024-03-23,0,1,3,10,77,0,56,0,0,0,0,6,56,0,56,6,56,6,56,2
P.H.O.L. - Sault Ste. Marie, 12,13,2,16,1,2024-03-23,0,0,1,1,16,0,12,0,0,0,0,0,12,0,12,0,12,0,12,3
P.H.O.L. - Sudbury, 12,30,1,34,1,2024-03-23,0,1,2,0,34,1,24,0,0,0,0,5,24,0,24,6,24,1,24,6
P.H.O.L. - Thunder Bay, 12,46,4,38,0,2024-03-23,0,0,0,0,38,1,27,0,0,0,0,0,27,1,27,1,27,1,27,8
P.H.O.L. - Timmins, 12,33,10,28,0,2024-03-23,0,3,3,3,28,0,12,0,0,0,0,0,12,0,12,0,12,2,12,4
P.H.O.L. - Toronto, 12,330,13,894,15,2024-03-23,5,13,30,17,894,4,862,0,0,0,0,65,862,16,862,65,862,55,862,111
Prairies, 12,7509,465,6461,25,2024-03-23,14,52,93,605,5978,177,1534,4,1,73,0,0,1533,13,1464,26,1525,107,1527,104
Prince Edward Island, 12,304,30,295,0,2024-03-23,0,3,3,44,295,9,32,0,0,3,0,0,32,1,32,3,32,3,32,2
Province of Ontario, 12,7773,331,6961,56,2024-03-23,15,162,230,236,6962,34,5066,1,0,67,2,138,5066,60,5075,248,5075,275,3442,253
Province of Québec, 12,8608,194,8332,0,2024-03-23,0,304,304,414,5640,180,1262,2,1,31,0,0,1285,20,1263,70,N.C.,N.C.,1128,66
Québec-Chaudière-Appalaches, 12,1292,27,1068,0,2024-03-23,0,31,31,105,1008,28,417,1,0,3,0,0,440,5,417,31,N.C.,N.C.,283,13
Région Nord-Est, 12,1260,33,1152,0,2024-03-23,0,26,26,81,606,48,71,1,0,2,0,0,71,2,69,3,N.C.,N.C.,71,14
Saskatchewan, 12,1605,80,1231,0,2024-03-23,0,43,43,175,985,52,375,0,0,17,0,0,375,7,375,20,375,26,375,22
Sault Area Hospital, 12,187,8,123,1,2024-03-23,3,4,8,2,123,2,97,1,0,4,0,0,97,2,97,7,97,4,97,7
Shared Hospital Laboratory, 12,1820,33,1438,18,2024-03-23,4,5,27,47,1439,2,1424,0,0,0,0,11,1424,10,1433,27,1433,39,1433,20
Sick Kids Hospital - Toronto, 12,111,4,109,2,2024-03-23,1,0,3,6,109,2,109,0,0,7,2,0,109,7,109,7,109,19,109,5
St. Joseph's - Hamilton, 12,1701,51,1633,0,2024-03-23,0,79,79,69,1633,8,1633,0,0,48,0,0,1633,15,1633,67,1633,88,0,0
St. Joseph's - London, 12,821,27,633,0,2024-03-23,0,13,13,15,633,1,79,0,0,0,0,4,79,2,79,8,79,5,79,5
Territories, 12,305,16,260,5,2024-03-23,2,0,8,46,260,16,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,41,1,41,0,41,3,N.C.,N.C.
UHN / Mount Sinai Hospital, 12,950,22,622,0,2024-03-23,0,5,5,5,622,5,123,0,0,4,0,0,123,1,123,4,123,8,123,2
Yukon, 12,33,2,27,0,2024-03-23,0,0,1,1,27,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
