province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,date,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Alberta, 15,4189,198,4323,11,2024-04-13,19,1,36,284,4132,65,1149,4,1,98,0,0,1149,8,1064,1,1133,91,1149,52
Atlantic, 15,3243,207,3049,7,2024-04-13,0,77,84,153,2716,56,626,2,4,37,3,0,626,13,626,34,626,75,626,27
British Columbia, 15,2990,275,3019,11,2024-04-13,11,0,63,67,2936,38,762,4,3,45,3,0,762,21,762,39,728,78,728,39
CANADA, 15,29198,1433,28847,71,2024-04-13,41,366,525,1729,24938,438,8975,11,10,368,9,124,9020,126,8917,416,7301,573,7305,404
Centre-du-Québec, 15,1801,34,1777,0,2024-04-13,0,36,36,144,786,31,32,0,0,2,0,0,32,3,32,1,N.C.,N.C.,32,1
EORLA, 15,839,32,530,0,2024-04-13,0,14,14,28,530,6,50,0,0,7,0,0,50,0,50,4,50,11,50,1
Manitoba, 15,1355,110,1104,1,2024-04-13,0,23,24,77,1104,18,97,1,1,5,1,0,97,1,96,4,97,15,96,3
Montréal-Laval, 15,2012,39,2785,0,2024-04-13,0,72,72,167,1519,40,874,0,1,47,0,0,874,17,874,43,N.C.,N.C.,874,32
Montérégie, 15,1146,21,1449,0,2024-04-13,0,39,39,64,1446,30,10,0,0,0,1,0,10,0,10,0,N.C.,N.C.,10,0
New Brunswick, 15,1013,37,1023,7,2024-04-13,0,0,7,76,1023,19,105,1,0,10,2,0,105,4,105,5,105,33,105,7
Newfoundland, 15,593,77,467,0,2024-04-13,0,6,6,13,467,14,467,1,4,20,1,0,467,5,467,26,467,30,467,15
Northwest Territories, 15,29,1,29,0,2024-04-13,1,0,1,3,29,1,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,29,0,29,0,29,4,N.C.,N.C.
Nova Scotia, 15,1464,87,1417,0,2024-04-13,0,70,70,52,1084,18,31,0,0,1,0,0,31,1,31,0,31,4,31,2
Nunavut, 15,203,14,178,1,2024-04-13,0,0,1,13,178,13,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
Ouest du Québec, 15,1085,26,724,0,2024-04-13,0,20,20,53,715,8,16,0,0,3,0,0,16,1,16,2,N.C.,N.C.,16,1
P.H.O.L. - Hamilton, 15,8,2,0,0,2024-04-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.H.O.L. - Kingston, 15,180,19,119,3,2024-04-13,0,0,3,2,119,0,77,0,0,0,0,4,77,0,77,3,77,1,77,18
P.H.O.L. - London, 15,279,39,253,2,2024-04-13,1,0,3,6,253,2,201,0,0,0,0,16,201,1,201,17,201,11,201,14
P.H.O.L. - Orillia, 15,5,0,2,0,2024-04-13,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,0,2,0,2,0
P.H.O.L. - Ottawa, 15,219,41,206,3,2024-04-13,0,4,5,3,206,1,125,0,0,0,0,7,125,0,125,15,125,2,125,20
P.H.O.L. - Peterborough, 15,68,9,79,0,2024-04-13,0,0,0,2,79,0,65,0,0,0,0,7,65,0,65,10,65,1,65,4
P.H.O.L. - Sault Ste. Marie, 15,13,1,22,0,2024-04-13,0,0,0,1,22,0,17,0,0,0,0,0,17,0,17,0,17,5,17,2
