province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Alberta, 52,6031,566,5892,859,22,50,931,74,5657,529,1295,3,2,10,0,0,1294,16,1267,0,1289,53,1295,28
Atlantic, 52,3889,578,3574,83,0,672,755,14,3131,289,686,1,4,0,5,0,686,12,686,16,686,34,686,11
British Columbia, 52,4263,443,5259,194,17,2,988,13,5103,481,1100,6,9,13,5,0,1100,53,1100,51,1064,130,1064,32
CANADA, 52,45408,7109,40536,1582,331,4698,7226,214,36345,2647,12440,11,19,57,15,61,10446,178,12395,218,10427,475,9891,247
Centre-du-Québec, 52,3219,715,715,0,0,133,133,1,708,55,35,0,0,2,0,0,35,0,35,2,N.C.,N.C.,35,2
EORLA, 52,1277,184,806,0,0,181,181,3,806,43,47,0,0,1,0,0,47,2,47,1,47,7,47,1
Manitoba, 52,2116,221,1554,0,21,305,326,15,1554,96,144,0,0,0,0,0,144,3,143,9,144,17,143,4
Montréal-Laval, 52,3598,717,4126,0,1,563,564,1,2250,148,1038,1,2,7,1,0,1038,29,1044,18,N.C.,N.C.,1038,32
Montérégie, 52,1981,406,2079,0,0,289,289,1,2033,95,6,0,0,0,0,0,6,0,6,1,N.C.,N.C.,6,0
New Brunswick, 52,1522,171,1570,83,0,382,465,0,1538,114,110,0,0,0,0,0,110,0,110,3,110,12,110,4
Newfoundland, 52,695,97,554,0,0,109,109,1,554,53,554,1,4,0,5,0,554,10,554,13,554,19,554,7
Northwest Territories, 52,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.R.,N.R.,N.C.,N.C.
Nova Scotia, 52,1672,310,1450,0,0,181,181,13,1039,122,22,0,0,0,0,0,22,2,22,0,22,3,22,0
Nunavut, 52,141,8,101,0,3,32,35,0,101,19,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
Ouest du Québec, 52,1988,424,1201,0,0,291,291,2,1186,63,13,0,0,0,0,0,13,0,13,0,N.C.,N.C.,13,3
P.H.O.L. - Hamilton, 52,141,50,112,8,8,3,17,0,112,5,94,0,0,0,0,1,94,2,94,3,94,1,94,5
P.H.O.L. - Kingston, 52,276,84,124,16,1,6,23,0,124,11,82,0,0,0,0,1,82,0,82,0,82,10,82,0
P.H.O.L. - London, 52,387,127,339,46,28,6,49,1,339,28,270,0,0,0,0,9,270,1,270,1,270,9,270,2
P.H.O.L. - Orillia, 52,11,4,59,5,0,2,7,0,59,5,56,0,0,0,0,0,56,0,56,0,56,2,56,1
P.H.O.L. - Ottawa, 52,349,177,263,21,0,13,24,0,263,6,136,0,0,0,0,0,136,0,136,2,136,7,136,3
P.H.O.L. - Peterborough, 52,54,12,56,15,13,2,5,1,56,7,54,0,0,0,0,1,54,1,54,1,54,3,54,2
P.H.O.L. - Sault Ste. Marie, 52,6,1,13,4,0,0,4,0,13,4,13,0,0,0,0,0,13,0,13,0,13,0,13,0
P.H.O.L. - Sudbury, 52,13,4,33,1,0,0,1,0,33,3,28,0,0,0,0,0,28,0,28,0,28,2,28,0
P.H.O.L. - Thunder Bay, 52,32,3,26,6,0,0,5,0,26,0,19,0,0,0,0,0,19,0,19,1,19,0,19,0
P.H.O.L. - Timmins, 52,20,10,25,5,0,1,3,0,25,1,22,0,0,0,0,0,22,0,22,0,22,1,22,0
P.H.O.L. - Toronto, 52,790,267,1354,141,107,26,182,13,1354,88,1168,0,0,0,0,33,1168,9,1168,19,1168,57,1168,60
Prairies, 52,10046,1001,9112,859,43,556,1458,116,8605,709,1839,3,2,11,0,0,1838,24,1810,42,1833,86,1838,40
Prince Edward Island, 52,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.
Province of Ontario, 52,11565,2038,9872,445,267,969,1517,62,9871,454,6844,0,1,23,3,61,4848,39,6826,67,6844,225,4458,110
Province of Québec, 52,15451,3037,12578,1,1,2467,2469,9,9495,689,1971,1,3,10,2,0,1974,50,1973,42,N.C.,N.C.,1845,54
Québec-Chaudière-Appalaches, 52,2362,473,2207,0,0,527,527,2,2125,215,767,0,1,1,0,0,770,18,766,15,N.C.,N.C.,641,15
Région Nord-Est, 52,2303,302,2250,1,0,664,665,2,1193,113,112,0,0,0,1,0,112,3,109,6,N.C.,N.C.,112,2
Saskatchewan, 52,1899,214,1666,0,0,201,201,27,1394,84,400,0,0,1,0,0,400,5,400,33,400,16,400,8
Sault Area Hospital, 52,261,32,219,47,0,7,54,0,219,33,169,0,0,3,2,0,169,3,169,0,169,9,169,1
Shared Hospital Laboratory, 52,2540,300,2061,113,96,63,272,6,2060,50,2053,0,0,0,0,16,57,0,2054,11,2053,28,2054,28
Sick Kids Hospital - Toronto, 52,182,18,174,16,14,0,30,1,174,16,174,0,1,4,1,0,174,5,174,8,174,20,174,6
St. Joseph's - Hamilton, 52,2751,400,2387,0,0,442,442,26,2387,80,2387,0,0,15,0,0,2387,12,2387,20,2387,63,0,0
St. Joseph's - London, 52,1139,182,852,0,0,134,134,7,852,61,53,0,0,0,0,0,53,4,53,0,53,6,53,1
Territories, 52,194,12,141,0,3,32,39,0,140,25,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.R.,N.R.,N.C.,N.C.
UHN / Mount Sinai Hospital, 52,1336,183,969,1,0,83,84,4,969,13,19,0,0,0,0,0,19,0,0,0,19,0,19,0
Yukon, 52,53,4,40,0,0,0,4,0,39,6,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
