province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,date,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Alberta, 14,4267,160,4318,19,2024-04-06,28,0,49,337,4151,69,1117,2,1,60,0,0,1117,9,1056,0,1099,96,1117,72
Atlantic, 14,2964,178,2945,0,2024-04-06,0,74,74,210,2685,74,597,1,2,21,4,0,597,12,597,45,598,63,598,43
British Columbia, 14,3308,346,3351,13,2024-04-06,10,5,75,97,3260,67,790,0,5,38,2,0,790,32,790,46,762,77,762,49
CANADA, 14,28886,1369,29070,85,2024-04-06,48,480,662,1949,25327,518,9246,3,10,253,7,139,9296,143,9222,479,7608,562,7508,504
Centre-du-Québec, 14,1850,44,1790,0,2024-04-06,0,71,71,167,799,26,21,0,0,2,0,0,21,1,21,1,N.C.,N.C.,22,1
EORLA, 14,825,38,523,0,2024-04-06,0,28,28,50,523,7,33,0,0,2,0,0,33,0,33,3,33,4,33,4
Manitoba, 14,1325,86,1062,1,2024-04-06,0,16,17,70,1062,15,96,0,0,3,0,0,96,2,95,8,96,8,95,10
Montréal-Laval, 14,1956,55,2748,0,2024-04-06,0,65,65,171,1623,32,859,0,2,37,0,0,859,21,862,48,N.C.,N.C.,859,51
Montérégie, 14,1193,25,1321,0,2024-04-06,0,25,25,63,1320,26,8,0,0,1,0,0,8,1,8,2,N.C.,N.C.,8,0
New Brunswick, 14,975,42,1112,0,2024-04-06,0,12,12,110,1112,30,117,0,0,6,0,0,117,2,117,16,117,16,117,4
Newfoundland, 14,557,48,436,0,2024-04-06,0,3,3,19,436,22,436,1,2,11,4,0,436,6,436,24,436,36,436,36
Northwest Territories, 14,35,1,35,1,2024-04-06,0,0,1,3,35,4,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,35,1,35,1,35,5,N.C.,N.C.
Nova Scotia, 14,1278,83,1259,0,2024-04-06,0,59,59,64,999,18,30,0,0,0,0,0,30,1,30,2,30,4,30,2
Nunavut, 14,181,12,150,0,2024-04-06,0,0,0,29,150,13,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
Ouest du Québec, 14,1092,21,726,0,2024-04-06,0,30,30,52,718,12,14,0,0,3,0,0,14,4,14,1,N.C.,N.C.,14,0
P.H.O.L. - Hamilton, 14,64,4,75,0,2024-04-06,0,1,1,3,75,0,59,0,0,0,0,4,59,1,59,7,59,4,59,7
P.H.O.L. - Kingston, 14,217,40,179,3,2024-04-06,0,0,3,0,179,0,82,0,0,0,0,12,82,0,82,1,82,1,82,19
P.H.O.L. - London, 14,300,26,298,2,2024-04-06,1,1,4,10,298,2,269,0,0,0,0,22,269,2,269,21,269,18,269,25
P.H.O.L. - Orillia, 14,21,6,19,1,2024-04-06,0,0,1,0,19,0,15,0,0,0,0,0,15,0,15,0,15,0,15,2
P.H.O.L. - Ottawa, 14,271,57,278,6,2024-04-06,0,7,13,5,278,5,164,0,0,0,0,4,164,0,164,22,164,9,164,25
