province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,date,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Alberta, 37,4295,524,2712,8,2023-09-16,0,1,9,0,2560,7,797,2,4,1,0,0,797,6,797,0,791,162,797,0
Atlantic, 37,2519,478,1216,0,2023-09-16,0,1,1,0,1201,3,401,5,2,0,3,0,401,8,401,2,401,95,401,2
British Columbia, 37,3102,633,2568,14,2023-09-16,4,0,34,1,2567,9,624,5,2,2,7,0,624,13,624,1,593,120,593,1
CANADA, 37,30976,5140,17363,26,2023-09-16,8,25,73,6,16177,124,6890,25,15,10,15,48,6908,102,6927,25,5836,1056,5646,10
Centre-du-Québec, 37,2103,478,242,0,2023-09-16,0,0,0,1,241,5,24,0,1,0,1,0,24,1,24,0,N.C.,N.C.,24,0
EORLA, 37,1075,113,353,0,2023-09-16,0,0,0,0,353,12,47,0,0,1,0,0,47,0,47,0,47,13,47,0
Manitoba, 37,1270,183,1006,0,2023-09-16,0,2,2,2,1006,0,66,0,0,2,1,0,66,6,102,0,66,27,102,0
Montréal-Laval, 37,3315,513,1299,0,2023-09-16,0,8,8,1,1159,17,686,7,3,1,3,0,686,13,686,6,N.C.,N.C.,686,1
Montérégie, 37,1315,252,789,0,2023-09-16,0,6,6,0,677,11,7,1,0,0,0,0,7,0,7,0,N.C.,N.C.,7,0
New Brunswick, 37,807,122,498,0,2023-09-16,0,1,1,0,483,0,51,2,0,0,0,0,51,1,51,0,51,13,51,1
Newfoundland, 37,479,67,296,0,2023-09-16,0,0,0,0,296,3,296,1,1,0,1,0,296,5,296,2,296,62,296,1
Northwest Territories, 37,9,2,7,0,2023-09-16,0,0,0,0,7,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,7,1,N.C.,N.C.
Nova Scotia, 37,1131,281,412,0,2023-09-16,0,0,0,0,412,0,45,2,1,0,1,0,45,0,45,0,45,15,45,0
Nunavut, 37,84,8,58,0,2023-09-16,0,0,0,0,58,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
Ouest du Québec, 37,1537,345,418,0,2023-09-16,0,1,1,1,418,6,20,1,1,0,0,0,20,2,20,0,N.C.,N.C.,20,0
P.H.O.L. - Hamilton, 37,324,66,217,0,2023-09-16,1,0,1,0,217,1,148,0,0,0,0,6,148,1,148,4,148,37,148,0
P.H.O.L. - Kingston, 37,214,60,95,0,2023-09-16,0,0,0,0,95,0,69,0,0,0,0,2,69,0,69,0,69,16,69,0
P.H.O.L. - London, 37,401,105,283,0,2023-09-16,0,0,0,0,283,1,214,0,0,0,0,3,214,2,214,0,214,45,214,0
P.H.O.L. - Orillia, 37,13,1,25,0,2023-09-16,0,0,0,0,25,0,25,0,0,0,0,0,25,1,25,0,25,6,25,0
P.H.O.L. - Ottawa, 37,482,162,260,0,2023-09-16,0,0,0,0,260,2,96,0,0,0,0,0,96,0,96,0,96,16,96,0
P.H.O.L. - Peterborough, 37,38,8,51,0,2023-09-16,0,0,0,0,51,2,48,0,0,0,0,1,48,0,48,0,48,19,48,0
P.H.O.L. - Sault Ste. Marie, 37,8,6,9,0,2023-09-16,0,0,0,0,9,0,9,0,0,0,0,0,9,0,9,0,9,2,9,0
P.H.O.L. - Sudbury, 37,27,16,33,0,2023-09-16,0,0,0,0,33,0,21,0,0,0,0,0,22,0,21,0,21,6,21,0
P.H.O.L. - Thunder Bay, 37,53,13,28,0,2023-09-16,0,0,0,0,28,0,26,0,0,0,0,0,26,0,26,0,26,3,26,0
P.H.O.L. - Timmins, 37,41,10,38,0,2023-09-16,0,0,0,0,38,0,29,0,0,0,0,2,29,1,29,0,29,6,29,0
P.H.O.L. - Toronto, 37,522,187,890,4,2023-09-16,3,1,6,0,890,2,822,0,0,0,0,26,822,9,822,4,822,200,822,1
Prairies, 37,6906,828,4332,8,2023-09-16,0,3,11,2,4165,9,1096,3,6,3,1,0,1096,23,1132,0,1090,238,1132,0
Prince Edward Island, 37,102,8,10,0,2023-09-16,0,0,0,0,10,0,9,0,0,0,1,0,9,2,9,0,9,5,9,0
Province of Ontario, 37,6612,1069,5005,4,2023-09-16,4,4,10,0,4998,51,3744,0,0,3,0,48,3745,32,3745,14,3745,602,2495,6
Province of Québec, 37,11688,2117,4150,0,2023-09-16,0,17,17,3,3154,52,1025,12,5,2,4,0,1042,26,1025,8,N.C.,N.C.,1025,1
