province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Alberta, 13,4440,210,4230,24,5,2,39,403,4070,70,1028,3,0,46,0,0,1028,10,941,1,1012,105,1028,48
Atlantic, 13,2831,194,2909,0,0,111,111,211,2642,83,581,0,2,18,3,0,581,12,581,43,581,50,581,38
British Columbia, 13,3454,317,2178,23,15,2,62,47,2052,41,704,1,3,32,3,0,704,34,704,59,688,100,688,44
CANADA, 13,29526,1438,27703,106,27,582,742,1814,23940,556,8781,5,5,231,9,143,8826,140,8732,438,7384,533,7176,422
Centre-du-Québec, 13,1806,52,1752,0,0,92,92,104,810,32,23,0,0,2,0,0,23,1,23,2,N.C.,N.C.,25,0
EORLA, 13,853,52,549,0,0,17,17,53,549,5,47,0,0,5,0,0,47,1,47,4,47,5,47,1
Manitoba, 13,1280,85,1092,1,0,14,15,74,1092,24,75,0,0,1,0,0,75,1,83,8,75,7,83,7
Montréal-Laval, 13,2082,64,2788,0,0,75,75,132,1630,55,825,1,0,35,0,0,825,22,825,55,N.C.,N.C.,825,43
Montérégie, 13,1188,34,1418,0,0,46,46,55,1417,27,3,0,0,0,0,0,3,0,3,0,N.C.,N.C.,3,0
New Brunswick, 13,867,39,1092,0,0,22,22,109,1092,37,139,0,0,7,2,0,139,5,139,11,139,29,139,5
Newfoundland, 13,533,59,401,0,0,6,6,18,401,25,401,0,2,9,1,0,401,5,401,30,401,17,401,32
Northwest Territories, 13,25,3,23,0,0,0,0,1,23,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,23,0,23,0,23,2,N.C.,N.C.
Nova Scotia, 13,1217,81,1215,0,0,80,80,38,948,17,26,0,0,0,0,0,26,1,26,2,26,2,26,1
Nunavut, 13,216,17,183,1,1,0,2,48,183,23,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
Ouest du Québec, 13,1009,28,663,0,0,48,48,38,654,14,22,0,0,5,0,0,22,0,22,2,N.C.,N.C.,22,2
P.H.O.L. - Hamilton, 13,126,10,146,7,1,10,17,3,146,0,121,0,0,0,0,5,121,4,121,15,121,8,121,16
P.H.O.L. - Kingston, 13,139,24,111,1,0,0,1,1,111,0,66,0,0,0,0,2,66,0,66,2,66,2,66,22
P.H.O.L. - London, 13,224,13,210,1,0,7,8,5,210,1,198,0,0,0,0,16,198,1,198,12,198,31,198,16
P.H.O.L. - Orillia, 13,4,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,4,1,4,0,4,0
P.H.O.L. - Ottawa, 13,221,45,215,6,0,0,6,5,215,2,129,0,0,0,0,15,129,0,129,10,129,3,129,17
P.H.O.L. - Peterborough, 13,38,0,49,0,0,3,3,0,49,0,28,0,0,0,0,4,28,2,28,8,28,4,28,1
P.H.O.L. - Sault Ste. Marie, 13,16,10,22,2,0,0,2,0,22,0,12,0,0,0,0,0,12,0,12,0,12,0,12,0
P.H.O.L. - Sudbury, 13,14,0,26,2,0,1,3,0,26,2,25,0,0,0,0,2,25,0,25,0,25,0,25,9
P.H.O.L. - Thunder Bay, 13,32,3,23,0,0,1,1,0,23,0,11,0,0,0,0,0,11,0,11,0,11,0,11,2
P.H.O.L. - Timmins, 13,22,0,32,0,0,0,0,2,32,1,28,0,0,0,0,3,28,0,28,1,28,0,28,6
P.H.O.L. - Toronto, 13,229,23,809,20,1,5,24,15,809,1,801,0,0,0,0,68,801,5,801,57,801,52,801,79
Prairies, 13,7470,379,6670,25,5,51,89,691,6254,135,1523,3,0,65,2,0,1523,13,1444,25,1507,145,1531,75
Prince Edward Island, 13,214,15,201,0,0,3,3,46,201,4,15,0,0,2,0,0,15,1,15,0,15,2,15,0
Province of Ontario, 13,6962,298,6384,57,6,96,156,210,6384,37,4574,0,0,67,0,143,4574,40,4585,217,4585,236,3107,202
Province of Québec, 13,8537,230,9334,0,0,322,322,606,6380,237,1399,1,0,49,1,0,1421,41,1395,94,N.C.,N.C.,1269,63
Québec-Chaudière-Appalaches, 13,1185,16,1315,0,0,46,46,152,1235,74,438,0,0,1,1,0,460,13,438,29,N.C.,N.C.,306,10
Région Nord-Est, 13,1267,36,1398,0,0,15,15,125,634,35,88,0,0,6,0,0,88,5,84,6,N.C.,N.C.,88,8
Saskatchewan, 13,1750,84,1348,0,0,35,35,214,1092,41,420,0,0,18,2,0,420,2,420,16,420,33,420,20
Sault Area Hospital, 13,122,7,101,2,1,0,3,1,101,5,80,0,0,2,0,0,80,1,80,6,80,6,80,4
Shared Hospital Laboratory, 13,1626,25,1298,16,2,4,22,34,1298,3,1286,0,0,0,0,20,1286,11,1297,17,1297,19,1297,22
Sick Kids Hospital - Toronto, 13,116,2,117,0,1,0,1,8,117,1,117,0,0,8,0,0,117,5,117,10,117,28,117,4
St. Joseph's - Hamilton, 13,1543,48,1478,0,0,36,36,63,1478,10,1478,0,0,51,0,0,1478,8,1478,73,1478,65,0,0
St. Joseph's - London, 13,740,19,574,0,0,4,4,16,574,1,73,0,0,0,0,8,73,1,73,1,73,9,73,3
Territories, 13,272,20,228,1,1,0,2,49,228,23,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,23,0,23,0,23,2,N.C.,N.C.
UHN / Mount Sinai Hospital, 13,897,17,620,0,0,8,8,4,620,5,70,0,0,1,0,0,70,1,70,0,70,4,70,0
Yukon, 13,31,0,22,0,0,0,0,0,22,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
