province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Alberta, 40,5519,932,2855,19,1,2,22,5,2604,12,435,0,0,0,0,0,435,3,434,0,426,95,435,1
Atlantic, 40,3544,865,1775,0,0,6,6,0,1761,5,467,5,1,1,9,0,467,11,457,2,467,110,467,1
British Columbia, 40,4203,867,3847,24,4,0,62,2,3847,21,729,2,4,2,6,0,729,21,729,5,680,163,657,7
CANADA, 40,42117,8342,22749,51,15,35,134,10,21172,286,8037,20,11,9,20,51,8051,106,8077,26,6837,1205,6551,18
Centre-du-Québec, 40,2581,559,573,0,0,0,0,0,573,12,30,0,0,0,1,0,30,2,30,0,N.C.,N.C.,30,0
EORLA, 40,1289,144,478,0,0,0,0,0,478,28,26,0,2,0,0,0,26,1,26,0,26,11,26,0
Manitoba, 40,1532,263,1200,0,0,2,2,0,1200,2,33,0,0,0,0,0,33,1,79,0,33,25,79,0
Montréal-Laval, 40,3872,769,1446,0,0,6,6,0,1264,44,759,9,3,0,2,0,759,11,761,5,N.C.,N.C.,759,1
Montérégie, 40,2006,389,946,0,0,1,1,2,870,19,8,0,0,0,0,0,8,0,8,0,N.C.,N.C.,8,0
New Brunswick, 40,949,162,677,0,0,2,2,0,663,1,55,3,0,0,1,0,55,2,55,0,55,19,55,0
Newfoundland, 40,519,105,350,0,0,0,0,0,350,1,350,0,1,1,6,0,350,6,350,2,350,67,350,1
Northwest Territories, 40,24,2,18,0,0,0,0,0,18,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,18,6,N.C.,N.C.
Nova Scotia, 40,1885,575,710,0,0,4,4,0,710,3,52,2,0,0,1,0,52,3,52,0,52,18,52,0
Nunavut, 40,100,14,67,0,0,0,0,0,67,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
Ouest du Québec, 40,2385,663,659,1,0,6,7,0,658,13,26,0,0,0,0,0,26,1,26,1,N.C.,N.C.,26,0
P.H.O.L. - Hamilton, 40,155,30,154,0,0,0,0,0,154,0,117,0,0,0,0,6,117,1,117,1,117,31,117,0
P.H.O.L. - Kingston, 40,292,109,136,0,0,0,0,0,136,0,85,0,0,0,0,3,85,1,85,0,85,18,85,0
P.H.O.L. - London, 40,652,211,445,0,0,0,0,0,445,2,333,0,0,0,0,3,333,1,333,0,333,64,333,0
P.H.O.L. - Orillia, 40,22,1,45,0,0,0,0,0,45,1,44,0,0,0,0,1,44,1,44,0,44,16,44,0
P.H.O.L. - Ottawa, 40,536,171,283,0,0,0,0,0,283,0,172,0,0,0,0,3,172,0,172,0,172,41,172,0
P.H.O.L. - Peterborough, 40,96,30,70,0,0,0,0,0,70,6,63,0,0,0,0,1,63,1,63,0,63,16,63,0
P.H.O.L. - Sault Ste. Marie, 40,9,3,10,0,0,0,0,0,10,0,7,0,0,0,0,0,7,0,7,0,7,4,7,0
P.H.O.L. - Sudbury, 40,16,3,17,0,0,0,0,0,17,0,12,0,0,0,0,0,12,0,12,0,12,1,12,0
