province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,date,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Alberta, 10,4737,316,4215,44,2024-03-09,11,1,63,245,3990,127,1022,3,2,34,0,0,1022,12,967,0,1015,74,1022,47
Atlantic, 10,3112,231,2826,20,2024-03-09,2,176,198,180,2700,176,483,4,1,6,2,0,483,9,483,26,483,44,483,24
British Columbia, 10,3861,472,3035,25,2024-03-09,25,3,136,63,2918,125,951,0,1,24,2,0,951,22,951,75,905,116,905,55
CANADA, 10,31189,1950,29235,165,2024-03-09,66,1363,1676,1458,25197,899,9417,11,5,139,5,89,9508,124,9453,434,7769,499,7588,523
Centre-du-Québec, 10,2067,60,1957,0,2024-03-09,0,215,215,112,850,38,24,0,0,1,0,0,24,1,24,5,N.C.,N.C.,24,2
EORLA, 10,803,39,496,0,2024-03-09,0,37,37,42,496,4,45,0,0,1,0,0,45,0,45,0,45,6,45,4
Manitoba, 10,1461,182,1050,0,2024-03-09,0,13,13,31,1050,41,94,0,0,4,0,0,94,8,114,7,94,13,114,11
Montréal-Laval, 10,1988,59,2974,1,2024-03-09,0,255,256,77,1661,46,923,0,1,15,0,0,923,15,924,37,N.C.,N.C.,923,59
Montérégie, 10,1245,57,1576,0,2024-03-09,0,123,123,28,1575,44,9,0,0,0,0,0,9,0,9,0,N.C.,N.C.,9,0
New Brunswick, 10,1265,74,1246,20,2024-03-09,2,24,46,125,1245,93,96,0,0,4,1,0,96,2,96,7,96,20,96,13
Newfoundland, 10,457,29,325,0,2024-03-09,0,15,15,9,325,20,325,4,1,0,1,0,325,6,325,12,325,14,325,9
Northwest Territories, 10,66,3,66,0,2024-03-09,0,0,0,13,66,21,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,66,4,66,1,66,3,N.C.,N.C.
Nova Scotia, 10,1167,118,1057,0,2024-03-09,0,122,122,25,932,42,37,0,0,1,0,0,37,0,37,2,37,6,37,1
Nunavut, 10,N.R.,N.R.,N.R.,N.R.,2024-03-09,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
Ouest du Québec, 10,1264,53,805,0,2024-03-09,0,71,71,34,796,30,21,0,0,2,0,0,21,2,21,1,N.C.,N.C.,21,2
P.H.O.L. - Hamilton, 10,97,17,92,2,2024-03-09,0,4,6,3,92,0,72,0,0,0,0,1,72,2,72,6,72,10,72,10
P.H.O.L. - Kingston, 10,129,6,100,1,2024-03-09,0,9,10,1,100,0,67,0,0,0,0,4,67,0,67,0,67,7,67,15
P.H.O.L. - London, 10,372,35,323,21,2024-03-09,11,15,39,24,323,5,271,0,0,0,0,8,271,1,271,12,271,16,271,25
P.H.O.L. - Orillia, 10,13,4,13,0,2024-03-09,0,0,0,0,13,0,13,0,0,0,0,2,13,0,13,0,13,0,13,1
P.H.O.L. - Ottawa, 10,203,26,166,3,2024-03-09,0,12,15,3,166,1,124,0,0,0,0,5,124,0,124,7,124,10,124,26
P.H.O.L. - Peterborough, 10,50,0,60,2,2024-03-09,0,2,4,2,60,1,42,0,0,0,0,4,42,0,42,2,42,6,42,7
P.H.O.L. - Sault Ste. Marie, 10,5,0,13,1,2024-03-09,0,0,1,0,13,0,13,0,0,0,0,1,13,0,13,0,13,0,13,4
P.H.O.L. - Sudbury, 10,25,0,31,4,2024-03-09,0,0,4,0,31,1,30,0,0,0,0,3,30,0,30,0,30,0,30,11
P.H.O.L. - Thunder Bay, 10,30,7,21,0,2024-03-09,0,0,0,0,21,1,11,0,0,0,0,0,11,0,11,1,11,1,11,1
P.H.O.L. - Timmins, 10,40,15,52,2,2024-03-09,1,1,4,0,52,0,41,0,0,0,0,0,41,0,41,2,41,3,41,3
