province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,date,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Alberta, 17,3714,196,4198,5,2024-04-27,13,0,18,251,3987,44,1062,8,0,73,0,0,1062,10,964,1,1052,108,1062,56
Atlantic, 17,2790,210,2668,11,2024-04-27,0,42,53,90,2486,28,658,2,1,57,2,0,658,15,658,34,658,104,658,34
British Columbia, 17,2970,272,3018,28,2024-04-27,14,1,87,78,2901,30,681,3,1,58,3,0,681,12,681,32,657,123,657,19
CANADA, 17,25869,1418,25975,82,2024-04-27,39,162,300,1223,22659,321,8385,16,3,380,7,147,8420,114,8314,361,6784,751,6819,324
Centre-du-Québec, 17,1626,68,1524,0,2024-04-27,0,10,10,93,665,12,26,0,0,3,0,0,26,0,26,2,N.C.,N.C.,26,3
EORLA, 17,752,18,443,0,2024-04-27,0,2,2,13,443,7,41,0,0,1,0,0,41,0,41,1,41,11,41,2
Manitoba, 17,1284,70,1014,0,2024-04-27,1,13,14,81,1014,10,100,1,0,11,2,0,100,2,100,5,100,19,100,3
Montréal-Laval, 17,1567,45,2275,0,2024-04-27,0,22,22,107,1314,32,770,1,1,53,0,0,770,21,772,47,N.C.,N.C.,770,28
Montérégie, 17,1009,42,1140,0,2024-04-27,0,8,8,38,1140,37,3,0,0,0,0,0,3,0,3,0,N.C.,N.C.,3,0
New Brunswick, 17,870,35,873,11,2024-04-27,0,0,11,34,873,6,101,1,0,15,1,0,101,3,101,10,101,24,101,2
Newfoundland, 17,617,87,515,0,2024-04-27,0,3,3,8,515,14,515,1,1,33,1,0,515,11,515,24,515,65,515,28
Northwest Territories, 17,25,2,25,0,2024-04-27,0,0,0,2,25,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,25,0,25,1,25,3,N.C.,N.C.
Nova Scotia, 17,1155,84,1143,0,2024-04-27,0,39,39,47,961,7,26,0,0,4,0,0,26,0,26,0,26,7,26,0
Nunavut, 17,N.R.,N.R.,N.R.,N.R.,2024-04-27,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
Ouest du Québec, 17,940,24,593,0,2024-04-27,0,11,11,34,589,4,23,0,0,6,0,0,23,2,23,1,N.C.,N.C.,23,0
P.H.O.L. - Hamilton, 17,40,5,54,4,2024-04-27,0,1,1,0,54,0,41,0,0,0,0,6,41,0,41,4,41,14,41,3
P.H.O.L. - Kingston, 17,117,28,88,8,2024-04-27,1,1,1,0,88,0,52,0,0,0,0,2,52,0,52,2,52,2,52,4
P.H.O.L. - London, 17,261,32,240,9,2024-04-27,0,1,5,3,240,1,216,0,0,0,0,18,216,1,216,23,216,21,216,25
P.H.O.L. - Orillia, 17,17,1,6,0,2024-04-27,0,0,0,1,6,0,6,0,0,0,0,0,6,0,6,0,6,1,6,0
P.H.O.L. - Ottawa, 17,195,24,170,0,2024-04-27,1,2,2,2,170,8,98,0,0,0,0,7,98,0,98,13,98,14,98,8
P.H.O.L. - Peterborough, 17,79,17,81,3,2024-04-27,0,0,0,3,81,0,37,0,0,0,0,5,37,1,37,3,37,13,37,2
P.H.O.L. - Sault Ste. Marie, 17,5,3,8,0,2024-04-27,0,0,0,0,8,0,8,0,0,0,0,2,8,0,8,0,8,0,8,1
P.H.O.L. - Sudbury, 17,14,0,18,0,2024-04-27,0,0,0,0,18,0,14,0,0,0,0,1,14,0,14,0,14,4,14,1
P.H.O.L. - Thunder Bay, 17,36,12,23,0,2024-04-27,1,0,0,0,23,1,19,0,0,0,0,0,19,0,19,2,19,1,19,1
P.H.O.L. - Timmins, 17,24,0,29,0,2024-04-27,0,3,3,1,29,0,24,0,0,0,0,2,24,0,24,0,24,1,24,5
P.H.O.L. - Toronto, 17,290,40,896,10,2024-04-27,6,6,18,5,896,2,850,0,0,0,0,93,850,12,850,71,850,91,850,54
Prairies, 17,6283,325,6276,5,2024-04-27,14,18,37,401,5895,75,1558,9,0,110,2,0,1558,18,1460,23,1548,162,1558,88
Prince Edward Island, 17,148,4,137,0,2024-04-27,0,0,0,1,137,1,16,0,0,5,0,0,16,1,16,0,16,8,16,4
Province of Ontario, 17,6049,334,5478,38,2024-04-27,11,34,56,100,5478,36,3894,0,0,77,0,147,3894,28,3896,173,3896,359,2495,113
Province of Québec, 17,7723,274,8488,0,2024-04-27,0,67,67,551,5852,151,1594,2,1,78,0,0,1604,41,1594,98,N.C.,N.C.,1451,70
Québec-Chaudière-Appalaches, 17,1282,56,1586,0,2024-04-27,0,13,13,106,1499,44,682,0,0,11,0,0,692,14,682,43,N.C.,N.C.,539,33
Région Nord-Est, 17,1299,39,1370,0,2024-04-27,0,3,3,173,645,22,90,1,0,5,0,0,90,4,88,5,N.C.,N.C.,90,6
Saskatchewan, 17,1285,59,1064,0,2024-04-27,0,5,5,69,894,21,396,0,0,26,0,0,396,6,396,17,396,35,396,29
Sault Area Hospital, 17,96,18,71,0,2024-04-27,1,0,1,2,71,0,64,0,0,5,0,0,64,0,64,10,64,11,64,1
Shared Hospital Laboratory, 17,1206,26,902,4,2024-04-27,1,1,6,15,902,2,895,0,0,0,0,10,895,4,897,12,897,41,897,5
