province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,date,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Alberta, 47,6580,909,4229,611,2023-11-25,32,61,704,14,3950,164,999,6,3,4,0,0,998,12,987,4,993,73,999,8
Atlantic, 47,3490,780,2521,20,2023-11-25,0,96,116,1,2363,111,620,2,1,0,8,0,620,17,620,6,620,74,620,4
British Columbia, 47,3385,403,3461,84,2023-11-25,17,3,218,3,3389,179,852,7,12,2,9,0,856,33,856,26,828,129,828,8
CANADA, 47,42135,8137,28421,835,2023-11-25,86,1111,2115,28,26160,1815,10227,23,21,16,30,70,10270,196,10286,108,8797,653,8423,56
Centre-du-Québec, 47,2583,513,906,0,2023-11-25,0,27,27,2,549,85,47,1,0,0,1,0,47,5,47,2,N.C.,N.C.,48,0
EORLA, 47,1431,255,690,0,2023-11-25,0,31,31,0,690,116,26,0,0,0,0,0,26,0,26,0,26,7,26,0
Manitoba, 47,1757,411,1368,1,2023-11-25,3,80,84,0,1368,28,106,0,0,1,6,0,106,2,143,1,106,12,143,1
Montréal-Laval, 47,3082,649,1732,0,2023-11-25,0,37,37,1,1367,180,756,1,3,2,0,0,756,21,760,21,N.C.,N.C.,756,9
Montérégie, 47,1856,375,1028,0,2023-11-25,0,29,29,1,1004,88,9,0,0,0,0,0,9,1,9,0,N.C.,N.C.,9,0
New Brunswick, 47,1018,164,969,20,2023-11-25,0,36,56,1,943,37,103,0,0,0,2,0,103,7,103,0,103,23,103,2
Newfoundland, 47,702,168,482,0,2023-11-25,0,43,43,0,482,22,482,1,1,0,5,0,482,10,482,5,482,41,482,2
Northwest Territories, 47,22,1,22,4,2023-11-25,0,0,4,0,22,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,22,6,N.C.,N.C.
Nova Scotia, 47,1514,393,953,0,2023-11-25,0,16,16,0,821,50,24,1,0,0,0,0,24,0,24,1,24,7,24,0
