province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,date,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Alberta, 38,4603,612,3037,12,2023-09-23,2,0,14,0,2845,11,878,2,2,0,0,0,878,7,875,0,868,177,878,3
Atlantic, 38,2629,500,1388,0,2023-09-23,0,1,1,0,1381,18,429,4,2,1,5,0,429,5,429,0,429,118,429,0
British Columbia, 38,3216,724,2910,10,2023-09-23,3,0,43,0,2910,15,758,3,2,1,5,0,758,8,758,11,729,178,729,4
CANADA, 38,35767,6665,19666,32,2023-09-23,11,27,94,4,18368,201,7888,28,11,11,24,68,7899,73,7944,31,6750,1353,6546,27
Centre-du-Québec, 38,2314,540,418,0,2023-09-23,0,0,0,0,418,12,32,3,0,0,0,0,32,0,32,2,N.C.,N.C.,32,0
EORLA, 38,1174,110,417,0,2023-09-23,0,1,1,0,417,21,31,0,0,0,0,0,31,0,31,0,31,9,31,0
Manitoba, 38,1624,329,1200,0,2023-09-23,0,3,3,1,1200,0,87,0,1,0,4,0,87,3,145,0,87,44,145,0
Montréal-Laval, 38,3463,541,1386,0,2023-09-23,0,4,4,0,1267,28,769,13,3,3,2,0,769,5,771,7,N.C.,N.C.,769,7
Montérégie, 38,1625,344,839,0,2023-09-23,0,0,0,0,738,14,6,0,0,0,0,0,6,0,6,0,N.C.,N.C.,6,0
New Brunswick, 38,840,107,534,0,2023-09-23,0,0,0,0,527,6,73,0,0,0,0,0,73,0,73,0,73,21,73,0
Newfoundland, 38,465,66,299,0,2023-09-23,0,0,0,0,299,2,299,0,2,0,5,0,299,4,299,0,299,74,299,0
Northwest Territories, 38,29,1,22,0,2023-09-23,0,0,0,0,22,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,22,8,N.C.,N.C.
Nova Scotia, 38,1324,327,549,0,2023-09-23,0,1,1,0,549,10,52,4,0,1,0,0,52,1,52,0,52,20,52,0
Nunavut, 38,86,14,45,0,2023-09-23,0,0,0,0,45,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
Ouest du Québec, 38,1931,514,439,0,2023-09-23,0,4,4,0,438,8,21,2,0,0,0,0,21,1,21,0,N.C.,N.C.,21,0
P.H.O.L. - Hamilton, 38,392,117,258,0,2023-09-23,0,0,0,0,258,1,181,0,0,0,0,7,181,1,181,1,181,63,181,1
P.H.O.L. - Kingston, 38,378,119,155,0,2023-09-23,0,0,0,0,155,0,112,0,0,0,0,4,112,0,112,0,112,24,112,1
P.H.O.L. - London, 38,545,172,325,0,2023-09-23,0,0,0,0,325,1,265,0,0,0,0,12,265,1,265,0,265,68,265,0
P.H.O.L. - Orillia, 38,20,3,29,1,2023-09-23,0,0,1,0,28,1,26,0,0,0,0,1,26,1,26,0,26,5,26,0
P.H.O.L. - Ottawa, 38,363,142,234,0,2023-09-23,0,0,0,0,234,2,128,0,0,0,0,0,128,0,128,0,128,17,128,0
P.H.O.L. - Peterborough, 38,118,57,78,0,2023-09-23,0,0,0,0,78,3,69,0,0,0,0,2,69,0,69,0,69,23,69,1
P.H.O.L. - Sault Ste. Marie, 38,27,22,29,0,2023-09-23,0,0,0,0,29,0,14,0,0,0,0,0,14,0,14,0,14,4,14,0
