province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,date,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Alberta, 19,4140,283,3975,15,2024-05-11,10,0,31,166,3742,27,982,3,0,64,0,0,982,6,898,2,977,100,982,48
Atlantic, 19,2788,215,2561,7,2024-05-11,0,37,44,69,2364,24,686,2,4,65,3,0,686,17,686,31,686,105,686,25
British Columbia, 19,3141,408,3243,15,2024-05-11,11,3,69,85,3170,18,744,2,2,57,8,0,744,14,744,27,728,122,728,16
CANADA, 19,26133,1941,25787,61,2024-05-11,28,120,238,839,22724,241,8514,11,6,364,14,199,8536,111,8463,327,6866,696,7031,234
Centre-du-Québec, 19,1451,56,1401,0,2024-05-11,0,15,15,62,727,17,29,0,0,1,0,0,29,1,29,2,N.C.,N.C.,30,3
EORLA, 19,701,35,445,0,2024-05-11,0,3,3,15,445,0,35,0,0,1,1,0,35,1,35,1,35,5,35,0
Manitoba, 19,1217,121,845,0,2024-05-11,0,1,1,17,845,1,77,0,0,2,0,0,77,1,99,2,77,3,99,0
Montréal-Laval, 19,1549,45,2578,0,2024-05-11,0,12,12,83,1422,18,853,1,0,63,0,0,853,17,856,39,N.C.,N.C.,853,21
Montérégie, 19,992,50,1205,0,2024-05-11,0,5,5,23,1205,24,3,0,0,0,0,0,3,0,3,0,N.C.,N.C.,3,0
New Brunswick, 19,769,27,773,7,2024-05-11,0,0,7,25,773,3,106,0,0,14,0,0,106,1,106,5,106,19,106,4
Newfoundland, 19,633,76,525,0,2024-05-11,0,8,8,7,525,14,525,2,4,42,3,0,525,12,525,23,525,76,525,18
Northwest Territories, 19,10,0,10,0,2024-05-11,0,0,0,1,10,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,10,0,10,0,10,1,N.C.,N.C.
Nova Scotia, 19,1244,104,1136,0,2024-05-11,0,29,29,36,939,6,33,0,0,0,0,0,33,1,33,3,33,4,33,1
Nunavut, 19,178,27,167,0,2024-05-11,0,0,0,7,167,10,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
Ouest du Québec, 19,846,33,537,0,2024-05-11,0,5,5,22,532,11,20,0,0,1,0,0,20,5,20,2,N.C.,N.C.,20,0
P.H.O.L. - Hamilton, 19,19,4,23,7,2024-05-11,1,0,0,1,23,0,23,0,0,0,0,1,23,0,23,3,23,5,23,0
P.H.O.L. - Kingston, 19,133,35,85,1,2024-05-11,0,0,0,0,84,0,62,0,0,0,0,6,62,0,62,5,62,9,62,2
P.H.O.L. - London, 19,297,51,298,1,2024-05-11,1,0,1,3,298,2,223,0,0,0,0,31,223,1,223,21,223,15,223,9
P.H.O.L. - Orillia, 19,9,1,0,0,2024-05-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.H.O.L. - Ottawa, 19,102,18,90,1,2024-05-11,0,0,1,1,90,0,73,0,0,0,0,14,73,0,73,7,73,5,73,3
P.H.O.L. - Peterborough, 19,47,4,69,2,2024-05-11,1,2,4,1,69,1,42,0,0,0,0,4,42,0,42,1,42,7,42,4
P.H.O.L. - Sault Ste. Marie, 19,44,40,47,0,2024-05-11,0,0,0,0,47,0,13,0,0,0,0,0,13,0,13,0,13,2,13,1
P.H.O.L. - Sudbury, 19,10,0,10,0,2024-05-11,0,0,0,0,10,0,7,0,0,0,0,1,7,0,7,2,7,0,7,1
P.H.O.L. - Thunder Bay, 19,52,18,45,0,2024-05-11,1,0,0,0,45,2,30,0,0,0,0,0,30,1,30,0,30,5,30,0
P.H.O.L. - Timmins, 19,28,0,30,0,2024-05-11,0,1,1,0,30,0,29,0,0,0,0,6,29,2,29,4,29,5,29,2
P.H.O.L. - Toronto, 19,301,59,894,6,2024-05-11,3,0,4,4,894,1,834,0,0,0,0,116,834,11,834,54,834,109,834,51
Prairies, 19,6600,456,5756,15,2024-05-11,10,7,38,229,5418,41,1401,6,0,94,2,0,1401,12,1339,13,1396,144,1423,64
Prince Edward Island, 19,142,8,127,0,2024-05-11,0,0,0,1,127,1,22,0,0,9,0,0,22,3,22,0,22,6,22,2
