province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,date,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Alberta, 49,7459,860,5452,1051,2023-12-09,39,56,1458,32,5089,288,1133,2,4,9,0,0,1133,15,1114,1,1125,71,1133,20
Atlantic, 49,3654,737,2817,87,2023-12-09,1,184,272,3,2665,205,668,0,4,2,5,0,668,19,668,8,668,45,668,8
British Columbia, 49,4272,440,3590,87,2023-12-09,12,4,471,4,3475,325,746,1,6,4,5,0,746,27,746,7,695,123,695,16
CANADA, 49,46500,8112,32760,1449,2023-12-09,178,2320,4547,88,29587,2223,10840,13,18,38,19,65,10915,206,10897,131,9221,543,8664,97
Centre-du-Québec, 49,2933,706,1130,0,2023-12-09,0,83,83,0,774,123,51,0,1,1,1,0,51,2,51,2,N.C.,N.C.,52,3
EORLA, 49,1740,278,784,0,2023-12-09,0,101,101,2,784,71,41,0,0,0,0,0,41,0,41,0,41,7,41,1
Manitoba, 49,2055,320,1407,0,2023-12-09,14,248,262,2,1407,44,109,0,0,0,1,0,109,7,119,10,109,8,119,3
Montréal-Laval, 49,3725,845,2237,0,2023-12-09,0,145,145,3,1564,170,858,2,2,5,1,0,858,19,866,21,N.C.,N.C.,858,15
Montérégie, 49,1488,323,1368,0,2023-12-09,0,106,106,3,1305,96,11,0,0,0,0,0,11,0,11,0,N.C.,N.C.,11,0
New Brunswick, 49,1259,195,1196,87,2023-12-09,1,83,171,0,1163,67,109,0,1,0,1,0,109,3,109,0,109,11,109,5
Newfoundland, 49,715,138,523,0,2023-12-09,0,49,49,2,523,40,523,0,3,2,4,0,523,15,523,8,523,27,523,3
