province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,date,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Alberta, 35,N.R.,N.R.,1355,3,2023-09-03,3,0,6,0,1282,2,468,1,1,1,2,0,468,9,342,0,456,50,468,3
Atlantic, 35,2110,357,984,0,2023-09-03,0,0,0,0,969,0,362,1,0,1,3,0,362,7,362,0,362,75,362,0
British Columbia, 35,2648,475,2133,23,2023-09-03,11,3,52,0,2133,7,612,1,2,0,9,0,612,16,612,1,585,91,585,1
CANADA, 35,21886,3305,13360,36,2023-09-03,19,18,84,9,12464,76,5751,17,8,11,26,55,5755,94,5652,20,4883,612,4573,13
Centre-du-Québec, 35,1507,261,195,0,2023-09-03,0,1,1,0,193,3,28,2,1,0,1,0,28,1,28,0,N.C.,N.C.,28,1
EORLA, 35,908,89,305,1,2023-09-03,0,0,1,0,305,8,14,0,0,0,0,0,14,0,14,0,14,1,14,0
Manitoba, 35,1144,154,942,0,2023-09-03,0,2,2,0,942,4,49,0,0,0,1,0,49,6,72,0,49,21,72,0
Montréal-Laval, 35,2919,458,1056,0,2023-09-03,0,4,4,1,960,7,550,8,0,2,3,0,550,7,551,4,N.C.,N.C.,550,2
Montérégie, 35,1046,210,568,0,2023-09-03,0,1,1,2,550,7,6,0,0,0,0,0,6,0,6,0,N.C.,N.C.,6,0
New Brunswick, 35,642,92,360,0,2023-09-03,0,0,0,0,345,0,49,0,0,0,0,0,49,2,49,0,49,8,49,0
Newfoundland, 35,488,79,283,0,2023-09-03,0,0,0,0,283,0,283,0,0,1,3,0,283,3,283,0,283,63,283,0
Northwest Territories, 35,N.R.,N.R.,N.R.,N.R.,2023-09-03,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.R.,N.R.,N.C.,N.C.
Nova Scotia, 35,871,173,332,0,2023-09-03,0,0,0,0,332,0,23,1,0,0,0,0,23,1,23,0,23,2,23,0
Nunavut, 35,N.R.,N.R.,N.R.,N.R.,2023-09-03,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
Ouest du Québec, 35,1146,221,277,0,2023-09-03,0,1,1,1,277,4,14,1,1,1,2,0,14,1,14,2,N.C.,N.C.,14,1
P.H.O.L. - Hamilton, 35,247,73,179,0,2023-09-03,0,0,0,0,179,1,103,0,0,0,0,3,103,1,103,0,103,15,103,0
P.H.O.L. - Kingston, 35,187,53,60,0,2023-09-03,0,0,0,0,60,0,49,0,0,0,0,5,49,0,49,0,49,10,49,0
