province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Alberta, 41,5590,972,2636,10,3,0,13,1,2357,16,29,1,0,0,0,0,29,0,29,0,28,4,29,1
Atlantic, 41,3583,743,1938,1,0,10,11,0,1927,16,491,1,1,1,5,0,491,8,484,0,491,113,491,1
British Columbia, 41,4045,765,3803,11,0,1,28,1,3803,36,734,5,2,3,6,0,734,16,734,10,693,160,693,0
CANADA, 41,38153,6682,21711,26,7,44,92,5,20306,364,7586,14,6,12,17,47,7620,103,7632,33,5088,942,6142,16
Centre-du-Québec, 41,2130,428,451,0,0,2,2,1,450,21,25,0,0,1,0,0,25,2,25,0,N.C.,N.C.,25,0
EORLA, 41,1344,137,455,0,0,4,4,0,455,32,40,0,0,0,1,0,40,0,40,0,40,12,40,0
Manitoba, 41,1513,240,1152,0,1,5,6,0,1152,0,72,0,0,0,2,0,72,3,106,0,72,31,106,1
Montréal-Laval, 41,3126,470,1331,0,0,5,5,0,1215,46,734,5,3,2,0,0,734,18,737,9,N.C.,N.C.,734,7
Montérégie, 41,1420,225,763,0,0,0,0,1,752,27,5,0,0,0,1,0,5,0,5,0,N.C.,N.C.,5,0
New Brunswick, 41,952,160,804,1,0,2,3,0,793,6,71,0,0,0,0,0,71,1,71,0,71,24,71,0
Newfoundland, 41,599,130,372,0,0,1,1,0,372,4,372,1,1,1,5,0,372,5,372,0,372,68,372,1
Northwest Territories, 41,36,8,27,0,0,0,0,0,27,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,27,8,N.C.,N.C.
Nova Scotia, 41,1729,408,687,0,0,6,6,0,687,6,37,0,0,0,0,0,37,2,30,0,37,14,37,0
Nunavut, 41,95,13,61,0,0,0,0,0,61,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
Ouest du Québec, 41,1983,486,615,0,0,2,2,1,615,25,20,0,0,0,0,0,20,1,20,0,N.C.,N.C.,20,0
P.H.O.L. - Hamilton, 41,127,39,146,0,0,0,0,0,146,6,119,0,0,0,0,2,119,2,119,0,119,31,119,0
P.H.O.L. - Kingston, 41,271,64,148,0,0,0,0,0,148,0,111,0,0,0,0,2,111,0,111,0,111,29,111,0
P.H.O.L. - London, 41,406,125,308,0,0,0,0,0,308,4,262,0,0,0,0,6,262,4,262,0,262,35,262,0
P.H.O.L. - Orillia, 41,13,1,38,0,0,0,0,0,38,0,38,0,0,0,0,1,38,1,38,0,38,11,38,0
P.H.O.L. - Ottawa, 41,299,93,199,0,0,0,0,0,199,1,154,0,0,0,0,2,154,0,154,0,154,41,154,0
P.H.O.L. - Peterborough, 41,87,25,71,0,0,0,0,0,71,10,60,0,0,0,0,2,60,0,60,0,60,11,60,1
P.H.O.L. - Sault Ste. Marie, 41,2,2,4,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,4,0,4,1,4,0
