province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,date,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Alberta, 8,4180,350,4260,29,2024-02-24,15,4,52,231,4040,237,1058,0,3,15,0,0,1058,9,982,1,1050,72,1058,70
Atlantic, 8,3098,255,2914,28,2024-02-24,2,186,216,84,2715,195,632,1,1,0,1,0,632,13,632,25,632,37,632,46
British Columbia, 8,3869,476,4061,40,2024-02-24,20,5,235,68,3893,170,835,3,1,16,2,0,835,27,835,71,801,94,801,71
CANADA, 8,33570,2542,32760,190,2024-02-24,64,2221,2648,998,28436,1276,10006,7,7,88,4,71,10073,128,9991,319,8200,512,8094,672
Centre-du-Québec, 8,2356,106,2244,0,2024-02-24,0,406,406,67,1082,65,43,0,0,0,0,0,43,1,43,1,N.C.,N.C.,43,1
EORLA, 8,939,67,540,0,2024-02-24,0,56,56,22,540,9,39,0,0,1,0,0,39,2,39,4,39,8,39,7
Manitoba, 8,1366,159,1028,0,2024-02-24,0,14,14,22,1028,63,93,0,1,2,0,0,93,2,97,8,93,10,97,7
Montréal-Laval, 8,2410,136,3303,1,2024-02-24,1,359,361,35,1970,89,986,1,0,20,0,0,986,15,988,25,N.C.,N.C.,986,94
Montérégie, 8,1532,93,1611,0,2024-02-24,0,241,241,20,1608,39,8,0,0,0,0,0,8,0,8,0,N.C.,N.C.,8,0
New Brunswick, 8,1128,87,1166,28,2024-02-24,2,6,36,58,1166,99,104,0,0,0,1,0,104,3,104,6,104,19,104,10
Newfoundland, 8,584,34,481,0,2024-02-24,0,48,48,8,481,41,481,1,1,0,0,0,481,8,481,19,481,16,481,30
Northwest Territories, 8,59,2,58,0,2024-02-24,0,0,0,9,58,29,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,58,0,58,0,58,7,N.C.,N.C.
Nova Scotia, 8,1205,115,1097,0,2024-02-24,0,121,121,11,898,32,38,0,0,0,0,0,38,0,38,0,38,1,38,3
Nunavut, 8,153,17,99,0,2024-02-24,0,0,0,5,99,18,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
Ouest du Québec, 8,1432,92,874,0,2024-02-24,0,124,124,14,866,30,10,0,0,1,1,0,10,2,10,1,N.C.,N.C.,10,2
P.H.O.L. - Hamilton, 8,144,22,162,4,2024-02-24,0,3,7,4,162,0,129,0,0,0,0,3,129,5,129,6,129,10,129,13
P.H.O.L. - Kingston, 8,191,8,98,4,2024-02-24,0,15,19,0,98,0,58,0,0,0,0,0,58,0,58,1,58,4,58,11
P.H.O.L. - London, 8,311,51,292,17,2024-02-24,0,6,23,2,292,2,219,0,0,0,0,8,219,0,219,6,219,9,219,21
P.H.O.L. - Orillia, 8,16,1,18,11,2024-02-24,0,4,15,0,18,0,11,0,0,0,0,0,11,0,11,1,11,0,11,0
P.H.O.L. - Ottawa, 8,245,31,206,1,2024-02-24,0,25,26,1,206,2,138,0,0,0,0,4,138,0,138,3,138,7,138,25
