province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,date,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Alberta, 23,3397,410,1057,2,2024-06-08,3,3,9,16,908,3,897,4,1,33,0,0,897,10,830,1,884,107,897,14
Atlantic, 23,2565,266,2175,0,2024-06-08,0,9,9,11,2027,5,729,1,2,58,2,0,729,8,729,12,729,113,729,9
British Columbia, 23,2901,430,2698,8,2024-06-08,4,0,39,13,2698,3,683,3,0,64,3,0,683,15,683,14,662,116,662,9
CANADA, 23,22518,2188,17867,16,2024-06-08,9,52,103,99,16269,68,7521,10,8,301,8,118,7541,106,7482,147,6133,724,6103,87
Centre-du-Québec, 23,1360,122,1210,0,2024-06-08,0,4,4,3,592,11,43,0,0,3,0,0,43,1,43,1,N.C.,N.C.,43,2
EORLA, 23,746,42,365,0,2024-06-08,0,2,2,0,365,3,39,0,0,1,0,0,39,0,39,2,39,7,39,0
Manitoba, 23,977,87,837,0,2024-06-08,0,2,2,5,837,1,72,0,0,10,1,0,72,4,89,2,72,25,89,3
Montréal-Laval, 23,1114,88,1079,0,2024-06-08,0,9,9,7,909,6,744,0,5,37,0,0,744,14,744,26,N.C.,N.C.,744,8
Montérégie, 23,657,41,900,0,2024-06-08,0,3,3,5,900,9,7,0,0,1,0,0,7,0,7,0,N.C.,N.C.,7,0
New Brunswick, 23,762,39,589,0,2024-06-08,0,0,0,5,589,1,102,0,1,19,1,0,102,6,102,3,102,23,102,0
Newfoundland, 23,669,95,581,0,2024-06-08,0,2,2,2,581,3,581,1,1,30,1,0,581,2,581,9,581,85,581,9
Northwest Territories, 23,16,0,16,0,2024-06-08,0,0,0,0,16,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,16,0,16,0,16,8,N.C.,N.C.
Nova Scotia, 23,1030,118,958,0,2024-06-08,0,7,7,4,810,1,37,0,0,8,0,0,37,0,37,0,37,2,37,0
Nunavut, 23,170,12,139,0,2024-06-08,0,0,0,5,139,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
