province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,date,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Alberta, 3,5151,526,4414,136,2024-01-20,20,10,166,75,4183,333,1002,2,1,9,0,0,1002,13,961,2,987,58,1002,33
Atlantic, 3,3750,399,3422,0,2024-01-20,0,487,487,32,2936,291,704,0,4,0,5,0,704,11,704,11,704,30,704,36
British Columbia, 3,4142,447,4326,75,2024-01-20,19,7,423,15,4143,279,933,0,5,4,4,0,933,27,933,42,898,96,898,31
CANADA, 3,38152,4337,34756,447,2024-01-20,215,2719,3576,269,30421,1840,11135,3,11,44,11,50,11172,124,11154,238,9287,429,9233,360
Centre-du-Québec, 3,2445,291,1322,0,2024-01-20,0,196,196,0,882,53,38,0,0,1,0,0,38,0,38,1,N.C.,N.C.,40,4
EORLA, 3,1134,97,598,0,2024-01-20,0,66,66,3,598,11,41,0,0,2,0,0,41,0,41,0,41,4,41,4
Manitoba, 3,1560,122,1227,0,2024-01-20,14,74,88,8,1227,100,105,0,0,0,1,0,105,3,128,11,105,8,128,6
Montréal-Laval, 3,2745,312,3647,0,2024-01-20,0,435,435,9,1945,109,974,0,1,5,1,0,974,15,974,17,N.C.,N.C.,974,44
Montérégie, 3,1477,208,1591,0,2024-01-20,0,190,190,8,1576,86,2,0,0,0,0,0,2,0,2,0,N.C.,N.C.,2,0
New Brunswick, 3,1217,106,1226,0,2024-01-20,0,116,116,2,1210,120,109,0,0,0,2,0,109,4,109,2,109,10,109,7
Newfoundland, 3,729,77,544,0,2024-01-20,0,97,97,0,544,60,544,0,4,0,3,0,544,5,544,9,544,13,544,29
Northwest Territories, 3,38,1,38,0,2024-01-20,1,0,1,0,38,4,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,38,7,N.C.,N.C.
Nova Scotia, 3,1559,202,1424,0,2024-01-20,0,226,226,29,954,83,29,0,0,0,0,0,29,0,29,0,29,4,29,0
Nunavut, 3,85,3,75,0,2024-01-20,2,2,4,0,75,17,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
Ouest du Québec, 3,1396,201,673,0,2024-01-20,0,68,68,11,661,21,16,0,0,1,0,0,16,0,16,2,N.C.,N.C.,16,0
P.H.O.L. - Hamilton, 3,294,80,259,11,2024-01-20,6,23,34,1,258,5,153,0,0,0,0,3,153,3,153,3,153,9,153,24
P.H.O.L. - Kingston, 3,266,55,166,12,2024-01-20,0,17,23,1,166,17,82,0,0,0,0,0,82,0,82,1,82,4,82,0
P.H.O.L. - London, 3,392,81,329,42,2024-01-20,8,9,48,2,329,15,283,0,0,0,0,7,283,1,283,7,283,5,283,10
P.H.O.L. - Orillia, 3,24,0,58,7,2024-01-20,2,0,9,0,58,1,49,0,0,0,0,0,49,0,49,0,49,4,49,1
P.H.O.L. - Ottawa, 3,432,201,354,12,2024-01-20,5,19,30,0,352,6,192,0,0,0,0,1,192,2,192,2,192,6,192,8
P.H.O.L. - Peterborough, 3,75,9,78,13,2024-01-20,35,5,8,0,78,0,61,0,0,0,0,2,61,0,61,6,61,4,61,2
P.H.O.L. - Sault Ste. Marie, 3,15,0,28,3,2024-01-20,0,0,3,0,28,7,18,0,0,0,0,1,18,0,18,0,18,0,18,0
P.H.O.L. - Sudbury, 3,9,0,20,3,2024-01-20,0,0,3,0,20,1,20,0,0,0,0,0,20,0,20,0,20,1,20,2
P.H.O.L. - Thunder Bay, 3,109,23,97,1,2024-01-20,0,5,5,0,96,6,65,0,0,0,0,0,65,0,65,4,65,1,65,1
P.H.O.L. - Timmins, 3,47,10,54,7,2024-01-20,0,8,15,0,54,4,33,0,0,0,0,0,33,0,33,0,33,0,33,1
P.H.O.L. - Toronto, 3,595,182,1525,72,2024-01-20,72,50,140,4,1523,73,1402,0,0,0,0,32,1402,14,1402,19,1402,45,1402,78
Prairies, 3,8548,860,7003,136,2024-01-20,34,113,283,142,6604,532,1561,2,1,12,1,0,1561,23,1543,68,1546,103,1584,58
Prince Edward Island, 3,245,14,228,0,2024-01-20,0,48,48,1,228,28,22,0,0,0,0,0,22,2,22,0,22,3,22,0
Province of Ontario, 3,9949,1280,8820,236,2024-01-20,159,504,770,40,8816,263,6097,1,0,21,0,50,6089,39,6101,75,6101,193,4358,165
Province of Québec, 3,11596,1344,11045,0,2024-01-20,0,1606,1606,40,7782,453,1840,0,1,7,1,0,1847,22,1835,41,N.C.,N.C.,1689,70
Québec-Chaudière-Appalaches, 3,1864,203,1997,0,2024-01-20,0,433,433,7,1903,127,730,0,0,0,0,0,737,7,729,19,N.C.,N.C.,577,20
Région Nord-Est, 3,1669,129,1815,0,2024-01-20,0,284,284,5,815,57,80,0,0,0,0,0,80,0,76,2,N.C.,N.C.,80,2
Saskatchewan, 3,1837,212,1362,0,2024-01-20,0,29,29,59,1194,99,454,0,0,3,0,0,454,7,454,55,454,37,454,19
Sault Area Hospital, 3,196,19,141,11,2024-01-20,0,4,15,1,141,16,117,1,0,2,0,0,117,0,117,0,117,5,117,2
Shared Hospital Laboratory, 3,2053,132,1640,39,2024-01-20,27,35,101,8,1642,30,1630,0,0,0,0,4,1622,7,1634,12,1634,23,1634,21
Sick Kids Hospital - Toronto, 3,131,13,127,3,2024-01-20,4,0,7,0,127,4,127,0,0,3,0,0,127,3,127,4,127,18,127,11
