province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Alberta, 46,6281,1012,4604,590,22,51,663,11,4355,178,1070,6,0,7,0,0,1070,10,1021,0,1046,92,1070,14
Atlantic, 46,3186,716,2219,13,2,54,69,2,2195,53,500,1,1,0,9,0,500,23,500,2,500,71,500,1
British Columbia, 46,3237,383,3132,39,14,5,111,3,3132,129,704,10,7,3,5,0,704,32,704,17,664,127,664,4
CANADA, 46,41355,7772,27368,738,81,968,1811,38,25451,1502,9659,34,12,25,20,48,9667,197,9652,76,8403,725,7997,48
Centre-du-Québec, 46,2573,486,901,0,0,17,17,1,556,95,55,0,0,1,0,0,55,3,55,2,N.C.,N.C.,57,1
EORLA, 46,1747,288,669,0,0,33,33,4,699,92,33,2,0,0,2,0,33,2,33,0,33,10,33,1
Manitoba, 46,1771,443,1386,0,0,77,77,0,1386,11,85,0,0,0,1,0,85,5,127,1,85,16,127,0
Montréal-Laval, 46,3137,591,1603,0,0,24,24,2,1342,142,735,8,1,3,0,0,735,29,736,22,N.C.,N.C.,735,11
Montérégie, 46,1797,315,931,0,0,20,20,0,888,72,3,0,0,0,0,0,3,0,3,0,N.C.,N.C.,3,0
New Brunswick, 46,1029,171,969,13,2,14,29,0,945,19,84,0,0,0,1,0,84,5,84,0,84,21,84,0
Newfoundland, 46,506,122,367,0,0,26,26,1,367,10,367,1,1,0,6,0,367,17,367,2,367,33,367,1
Northwest Territories, 46,22,1,12,0,2,0,2,0,12,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,12,0,N.C.,N.C.
Nova Scotia, 46,1466,392,789,0,0,13,13,1,789,24,42,0,0,0,1,0,42,0,42,0,42,15,42,0
Nunavut, 46,126,6,73,0,0,0,0,0,73,6,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
Ouest du Québec, 46,1698,445,634,0,0,15,15,2,630,59,35,1,0,1,0,0,35,2,35,0,N.C.,N.C.,35,0
P.H.O.L. - Hamilton, 46,306,136,279,1,0,0,0,0,279,22,195,0,0,0,0,6,195,1,195,0,195,14,195,0
P.H.O.L. - Kingston, 46,253,106,145,0,0,0,0,0,145,13,132,0,0,0,0,1,132,0,132,0,132,18,132,0
P.H.O.L. - London, 46,523,211,346,7,6,1,5,0,346,18,253,0,0,0,0,3,253,0,253,0,253,24,253,0
P.H.O.L. - Orillia, 46,17,8,47,0,0,0,0,0,47,5,47,0,0,0,0,0,47,0,47,0,47,4,47,0
P.H.O.L. - Ottawa, 46,326,130,231,6,1,2,3,0,231,11,146,0,0,0,0,3,146,1,146,4,146,12,146,2
P.H.O.L. - Peterborough, 46,70,27,112,0,0,0,0,0,112,26,95,0,0,0,0,0,95,1,95,0,95,11,95,0
P.H.O.L. - Sault Ste. Marie, 46,13,7,10,0,0,0,0,0,10,1,4,0,0,0,0,0,4,0,4,0,4,1,4,0
P.H.O.L. - Sudbury, 46,26,14,19,0,0,0,0,0,19,1,19,0,0,0,0,2,19,0,19,0,19,1,19,0
P.H.O.L. - Thunder Bay, 46,68,19,23,0,0,0,0,0,23,0,17,0,0,0,0,2,17,0,17,0,17,0,17,0
P.H.O.L. - Timmins, 46,57,33,40,0,0,0,0,0,40,2,30,0,0,0,0,0,30,1,30,0,30,4,30,0
P.H.O.L. - Toronto, 46,742,250,1212,56,18,8,68,1,1210,50,1076,0,0,0,0,22,1076,11,1076,10,1076,74,1076,7
Prairies, 46,11061,1866,7905,590,22,718,1330,15,7521,217,1751,7,0,8,1,0,1751,31,1744,6,1727,153,1793,14
Prince Edward Island, 46,185,31,94,0,0,1,1,0,94,0,7,0,0,0,1,0,7,1,7,0,7,2,7,0
Province of Ontario, 46,10471,2132,7798,96,41,103,210,12,7826,617,5499,5,1,9,5,48,5499,51,5500,20,5500,374,3833,16
Province of Québec, 46,13185,2664,6193,0,0,88,88,6,4656,477,1205,11,3,5,0,0,1213,60,1204,31,N.C.,N.C.,1207,13
Québec-Chaudière-Appalaches, 46,2301,473,768,0,0,5,5,1,768,85,297,2,2,0,0,0,305,19,297,6,N.C.,N.C.,297,1
Région Nord-Est, 46,1679,354,1356,0,0,7,7,0,472,24,80,0,0,0,0,0,80,7,78,1,N.C.,N.C.,80,0
Saskatchewan, 46,3009,411,1915,0,0,590,590,4,1780,28,596,1,0,1,0,0,596,16,596,5,596,45,596,0
Sault Area Hospital, 46,209,32,141,2,0,0,2,0,141,1,90,3,0,0,1,0,90,3,90,0,90,9,90,0
Shared Hospital Laboratory, 46,1969,287,1483,8,12,5,25,1,1483,132,1481,0,0,0,0,7,1481,13,1482,2,1482,53,1482,5
Sick Kids Hospital - Toronto, 46,158,8,136,3,4,5,12,0,136,34,136,0,1,1,1,0,136,4,136,0,136,33,136,0
St. Joseph's - Hamilton, 46,1941,265,1667,0,0,42,42,1,1667,142,1667,0,0,8,0,0,1667,12,1667,4,1667,97,0,0
St. Joseph's - London, 46,862,160,489,0,0,6,6,2,489,52,46,0,0,0,0,2,46,2,46,0,46,5,46,0
Territories, 46,215,11,121,0,2,0,3,0,121,9,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,12,0,N.C.,N.C.
UHN / Mount Sinai Hospital, 46,1184,151,749,13,0,1,14,3,749,15,32,0,0,0,1,0,32,0,32,0,32,4,32,1
Yukon, 46,67,4,36,0,0,0,1,0,36,3,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
