province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,date,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Alberta, 21,3819,378,2913,13,2024-05-25,3,1,17,66,2784,12,792,6,1,48,0,0,792,7,739,0,779,91,792,14
Atlantic, 21,2731,211,2548,1,2024-05-25,1,8,10,36,2391,20,812,3,6,67,2,0,812,18,812,24,812,162,812,18
British Columbia, 21,2912,309,2852,9,2024-05-25,4,0,33,36,2852,6,715,0,2,59,16,0,715,17,715,29,694,107,694,2
CANADA, 21,23788,1861,21545,25,2024-05-25,14,47,107,313,19655,163,8038,9,10,354,23,175,8066,121,8013,199,6464,737,6617,129
Centre-du-Québec, 21,1410,88,1312,0,2024-05-25,0,4,4,23,699,18,29,0,0,3,0,0,28,0,29,0,N.C.,N.C.,29,0
EORLA, 21,537,35,302,0,2024-05-25,0,1,1,1,302,1,41,0,0,1,0,0,41,0,41,0,41,7,41,2
Manitoba, 21,1015,50,837,0,2024-05-25,0,2,2,8,837,3,86,0,0,14,0,0,86,2,95,1,86,21,95,2
Montréal-Laval, 21,1239,72,1402,0,2024-05-25,0,10,10,19,1079,15,780,0,0,38,2,0,780,11,781,19,N.C.,N.C.,780,17
Montérégie, 21,881,49,1093,0,2024-05-25,0,2,2,14,1093,21,7,0,0,2,0,0,7,0,7,0,N.C.,N.C.,7,0
New Brunswick, 21,709,31,741,1,2024-05-25,1,0,2,15,741,4,94,1,0,7,0,0,94,4,94,1,94,32,94,3
Newfoundland, 21,798,76,674,0,2024-05-25,0,3,3,1,674,11,674,2,6,54,2,0,674,11,674,23,674,122,674,14
Northwest Territories, 21,17,2,17,0,2024-05-25,0,0,0,0,17,1,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,17,1,17,1,17,4,N.C.,N.C.
Nova Scotia, 21,1103,91,1045,0,2024-05-25,0,5,5,20,888,5,33,0,0,2,0,0,33,1,33,0,33,3,33,1
Nunavut, 21,167,6,140,0,2024-05-25,0,0,0,6,140,5,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
Ouest du Québec, 21,678,29,474,0,2024-05-25,0,0,0,6,471,5,22,0,1,3,0,0,22,1,22,1,N.C.,N.C.,22,0
P.H.O.L. - Hamilton, 21,13,1,35,2,2024-05-25,0,0,2,0,34,0,34,0,0,0,0,2,34,3,34,2,34,6,34,0
