province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Alberta, 45,5761,923,3484,227,22,17,266,13,3242,81,850,4,4,4,0,0,850,13,832,0,834,83,850,4
Atlantic, 45,3122,628,2069,2,1,39,42,3,2058,57,467,1,3,0,9,0,467,12,467,1,467,78,467,4
British Columbia, 45,3544,506,3436,51,5,3,136,5,3435,124,763,9,13,7,9,0,763,11,763,7,722,155,722,6
CANADA, 45,38465,6986,24911,327,39,606,1038,33,23247,1220,8938,26,28,17,27,46,8954,132,8960,53,7834,836,7302,31
Centre-du-Québec, 45,2247,427,810,0,0,6,6,0,545,59,50,0,1,0,0,0,50,2,50,2,N.C.,N.C.,51,0
EORLA, 45,1530,234,618,0,0,11,11,0,618,105,44,0,0,0,0,0,44,1,44,0,44,10,44,0
Manitoba, 45,1598,398,1182,0,1,29,30,0,1182,14,69,0,0,0,1,0,69,0,108,1,69,16,108,1
Montréal-Laval, 45,2562,437,1385,0,0,13,13,1,1188,108,644,3,2,2,1,0,644,12,644,17,N.C.,N.C.,644,4
Montérégie, 45,1489,282,916,0,0,16,16,1,856,61,0,0,0,0,0,0,0,0,0,0,N.C.,N.C.,0,0
New Brunswick, 45,937,139,862,2,1,1,4,0,851,11,65,0,0,0,6,0,65,1,65,0,65,15,65,0
Newfoundland, 45,519,113,345,0,0,25,25,0,345,13,345,1,2,0,2,0,345,8,345,1,345,46,345,4
Northwest Territories, 45,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.R.,N.R.,N.C.,N.C.
Nova Scotia, 45,1435,342,744,0,0,9,9,3,744,33,48,0,1,0,1,0,48,3,48,0,48,13,48,0
Nunavut, 45,108,12,66,0,0,0,0,0,66,4,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
Ouest du Québec, 45,1750,463,643,0,0,5,5,0,640,56,33,1,0,0,1,0,33,3,33,0,N.C.,N.C.,33,0
P.H.O.L. - Hamilton, 45,239,79,237,4,0,0,3,0,237,6,207,0,0,0,0,3,207,6,207,1,207,25,207,1
P.H.O.L. - Kingston, 45,202,76,116,0,0,0,0,0,116,7,92,0,0,0,0,1,92,1,92,0,92,14,92,0
P.H.O.L. - London, 45,605,206,382,5,0,0,5,0,382,37,284,0,0,0,0,3,284,2,284,0,284,34,284,0
P.H.O.L. - Orillia, 45,20,15,54,0,0,0,0,0,54,6,54,0,0,0,0,4,54,0,54,0,54,11,54,0
P.H.O.L. - Ottawa, 45,292,110,213,0,0,1,1,0,213,11,128,0,0,0,0,1,128,1,128,3,128,20,128,3
P.H.O.L. - Peterborough, 45,85,54,75,0,0,0,0,0,75,16,65,0,0,0,0,1,65,3,65,1,65,16,65,0
P.H.O.L. - Sault Ste. Marie, 45,22,18,6,0,0,0,0,0,6,0,6,0,0,0,0,0,6,0,6,0,6,1,6,0
P.H.O.L. - Sudbury, 45,31,18,26,0,0,0,0,0,26,0,23,0,0,0,0,0,23,0,23,0,23,0,23,0
P.H.O.L. - Thunder Bay, 45,71,13,31,0,0,0,0,0,31,0,30,0,0,0,0,2,30,0,30,0,30,5,30,0
P.H.O.L. - Timmins, 45,57,29,23,0,0,0,0,0,23,0,20,0,0,0,0,1,20,0,20,0,20,2,20,0
P.H.O.L. - Toronto, 45,639,211,1012,29,7,1,27,2,1012,35,929,0,0,0,0,22,929,10,929,3,929,88,929,1
Prairies, 45,10402,1771,6326,227,23,471,721,16,5968,120,1415,5,4,4,2,0,1415,26,1436,9,1399,148,1454,6
Prince Edward Island, 45,231,34,118,0,0,4,4,0,118,0,9,0,0,0,0,0,9,0,9,0,9,4,9,0
Province of Ontario, 45,9609,1752,7242,47,10,44,90,5,7243,552,5244,3,1,4,4,46,5244,48,5246,11,5246,455,3609,10
Province of Québec, 45,11625,2309,5739,0,0,49,49,4,4444,359,1049,8,7,2,3,0,1065,35,1048,25,N.C.,N.C.,1050,5
Québec-Chaudière-Appalaches, 45,1969,357,670,0,0,4,4,2,672,57,267,3,2,0,1,0,283,15,267,5,N.C.,N.C.,267,0
Région Nord-Est, 45,1608,343,1315,0,0,5,5,0,543,18,55,1,2,0,0,0,55,3,54,1,N.C.,N.C.,55,1
Saskatchewan, 45,3043,450,1660,0,0,425,425,3,1544,25,496,1,0,0,1,0,496,13,496,8,496,49,496,1
Sault Area Hospital, 45,218,41,141,1,0,1,2,0,141,0,101,2,0,0,3,0,101,1,101,0,101,8,101,0
Shared Hospital Laboratory, 45,1778,227,1441,4,1,3,8,0,1442,109,1421,0,0,0,0,7,1421,10,1423,1,1423,63,1423,4
Sick Kids Hospital - Toronto, 45,158,9,135,4,2,8,14,0,135,33,135,1,1,2,1,0,135,1,135,0,135,41,135,0
St. Joseph's - Hamilton, 45,1836,199,1637,0,0,13,13,1,1637,143,1637,0,0,2,0,0,1637,12,1637,2,1637,108,0,0
St. Joseph's - London, 45,740,118,409,0,0,3,3,0,409,39,49,0,0,0,0,1,49,0,49,0,49,9,49,1
Territories, 45,163,20,99,0,0,0,0,0,99,8,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.R.,N.R.,N.C.,N.C.
UHN / Mount Sinai Hospital, 45,1086,95,686,0,0,3,3,2,686,5,19,0,0,0,0,0,19,0,19,0,19,0,19,0
Yukon, 45,55,8,33,0,0,0,0,0,33,4,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
