province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,date,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Alberta, 16,3497,176,4055,4,2024-04-20,11,0,21,235,3868,45,1041,3,0,47,0,0,1041,9,959,3,1022,94,1041,47
Atlantic, 16,2970,193,2878,3,2024-04-20,1,68,72,134,2470,43,568,1,1,42,0,0,568,14,568,35,568,66,568,36
British Columbia, 16,3013,267,2320,28,2024-04-20,10,3,53,53,2238,37,776,3,1,52,1,0,771,24,771,35,755,125,755,29
CANADA, 16,26711,1280,25876,60,2024-04-20,42,239,348,1299,22540,373,8697,10,2,304,2,160,8737,134,8641,458,7087,669,7058,355
Centre-du-Québec, 16,1580,30,1470,0,2024-04-20,0,17,17,104,645,19,22,0,0,1,0,0,22,0,22,1,N.C.,N.C.,22,0
EORLA, 16,762,9,511,0,2024-04-20,0,10,10,24,511,7,42,1,0,2,0,0,42,0,42,1,42,4,42,2
Manitoba, 16,1260,94,869,0,2024-04-20,1,11,12,51,869,10,108,1,0,4,0,0,108,3,109,6,108,14,109,6
Montréal-Laval, 16,1734,44,2326,0,2024-04-20,0,35,35,123,1401,42,797,0,0,38,1,0,797,18,801,60,N.C.,N.C.,797,26
Montérégie, 16,1024,21,1237,0,2024-04-20,0,11,11,52,1234,29,9,0,0,0,0,0,9,0,9,0,N.C.,N.C.,9,0
New Brunswick, 16,955,38,950,3,2024-04-20,1,0,4,59,950,11,82,0,0,8,0,0,82,4,82,3,82,21,82,1
Newfoundland, 16,582,70,437,0,2024-04-20,0,7,7,7,437,16,437,1,1,30,0,0,437,9,437,31,437,36,437,29
Northwest Territories, 16,29,0,28,0,2024-04-20,0,0,0,4,28,0,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,28,1,28,0,28,6,N.C.,N.C.
Nova Scotia, 16,1325,80,1393,0,2024-04-20,0,61,61,62,985,15,35,0,0,1,0,0,35,1,35,1,35,4,35,6
Nunavut, 16,164,13,136,0,2024-04-20,0,0,0,7,136,17,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
Ouest du Québec, 16,1049,21,681,0,2024-04-20,0,15,15,42,679,4,22,0,0,1,0,0,22,3,22,6,N.C.,N.C.,22,0
P.H.O.L. - Hamilton, 16,50,4,91,0,2024-04-20,0,0,0,1,91,0,84,0,0,0,0,3,84,4,84,5,84,15,84,4
P.H.O.L. - Kingston, 16,126,19,113,1,2024-04-20,0,0,1,1,113,0,70,0,0,0,0,4,70,1,70,9,70,3,70,10
P.H.O.L. - London, 16,241,25,218,5,2024-04-20,3,0,4,6,218,2,202,0,0,0,0,18,202,2,202,17,202,11,202,22
P.H.O.L. - Orillia, 16,14,2,10,1,2024-04-20,0,0,1,0,10,0,9,0,0,0,0,0,9,0,9,1,9,0,9,1
P.H.O.L. - Ottawa, 16,253,42,172,1,2024-04-20,0,2,3,3,172,9,108,0,0,0,0,9,108,0,108,12,108,4,108,10
