province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Alberta, 5,4916,520,4435,46,29,3,97,109,4197,283,1069,1,1,22,0,0,1069,8,1026,0,1060,77,1069,29
Atlantic, 5,3908,342,3592,44,3,480,527,73,3219,305,778,1,3,5,1,0,778,23,778,19,778,37,778,38
British Columbia, 5,4419,468,4560,81,30,8,395,57,4360,322,1024,1,1,11,1,0,1024,38,1024,58,974,92,974,45
CANADA, 5,36727,3436,34104,317,120,3054,3783,493,29788,1730,10790,9,8,82,4,58,10833,176,10792,246,8943,436,8745,455
Centre-du-Québec, 5,2496,206,1411,0,0,324,324,15,899,36,32,0,0,0,0,0,32,5,32,1,N.C.,N.C.,32,2
EORLA, 5,1094,92,592,0,0,80,80,9,592,17,50,0,0,0,0,0,50,2,50,1,50,6,50,1
Manitoba, 5,1481,126,1152,0,1,27,28,11,1152,129,113,0,3,1,0,0,113,3,124,5,113,19,124,10
Montréal-Laval, 5,2358,189,3626,0,0,559,559,7,1910,78,987,2,0,6,0,0,987,19,989,23,N.C.,N.C.,987,47
Montérégie, 5,1390,147,1578,0,0,206,206,5,1578,66,11,0,0,0,0,0,11,1,11,0,N.C.,N.C.,11,0
New Brunswick, 5,1224,107,1219,44,3,50,97,21,1206,137,103,0,0,1,0,0,103,5,103,2,103,11,103,10
Newfoundland, 5,843,76,623,0,0,127,127,5,623,61,623,0,3,4,1,0,623,12,623,16,623,16,623,27
Northwest Territories, 5,36,1,36,0,0,0,0,1,36,12,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,36,2,36,1,36,2,N.C.,N.C.
Nova Scotia, 5,1585,147,1506,0,0,259,259,44,1146,72,32,0,0,0,0,0,32,3,32,0,32,4,32,1
Nunavut, 5,76,1,54,0,0,0,0,2,54,10,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
