province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,date,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Alberta, 1,6203,676,5855,561,2024-01-06,41,36,638,80,5526,437,1317,3,1,12,0,0,1317,17,1277,0,1300,49,1317,36
Atlantic, 1,4471,567,4132,92,2024-01-06,2,646,740,15,3630,331,812,0,5,1,8,0,812,9,812,15,812,36,812,24
British Columbia, 1,5308,500,5337,245,2024-01-06,20,2,778,21,5107,504,945,4,7,9,6,0,945,46,945,59,913,93,913,36
CANADA, 1,47644,6901,41458,1359,2024-01-06,419,3958,5901,247,36836,2567,12794,12,16,65,18,80,10917,162,12732,267,10667,496,10252,312
Centre-du-Québec, 1,3153,588,781,0,2024-01-06,0,110,110,0,775,45,24,0,0,1,0,0,24,1,24,1,N.C.,N.C.,24,1
EORLA, 1,1299,169,761,0,2024-01-06,0,126,126,9,761,28,59,0,0,1,1,0,59,0,59,2,59,10,59,4
Manitoba, 1,1943,194,1335,1,2024-01-06,9,167,177,11,1335,100,133,0,0,0,0,0,133,4,156,6,133,13,156,4
Montréal-Laval, 1,3524,629,4014,0,2024-01-06,0,514,514,12,2130,147,1001,3,0,7,0,0,1001,18,1003,26,N.C.,N.C.,1001,22
Montérégie, 1,1899,393,2059,0,2024-01-06,0,283,283,5,2024,121,3,0,0,0,0,0,3,0,3,0,N.C.,N.C.,3,0
New Brunswick, 1,1624,162,1635,92,2024-01-06,2,265,359,4,1603,123,114,0,0,0,0,0,114,2,114,4,114,4,114,6
Newfoundland, 1,743,106,654,0,2024-01-06,0,88,88,5,654,64,654,0,5,1,7,0,654,4,654,10,654,21,654,18
Northwest Territories, 1,N.R.,N.R.,N.R.,N.R.,2024-01-06,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.R.,N.R.,N.C.,N.C.
Nova Scotia, 1,1732,273,1523,0,2024-01-06,0,190,190,6,1053,126,28,0,0,0,1,0,28,3,28,1,28,6,28,0
Nunavut, 1,152,3,119,0,2024-01-06,1,33,34,0,119,16,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
Ouest du Québec, 1,2055,417,1205,0,2024-01-06,0,197,197,8,1194,77,22,0,0,0,0,0,22,0,22,1,N.C.,N.C.,22,2
P.H.O.L. - Hamilton, 1,229,89,175,18,2024-01-06,6,0,16,1,175,11,132,0,0,0,0,2,132,2,132,1,132,5,132,9
P.H.O.L. - Kingston, 1,223,56,149,20,2024-01-06,1,11,22,1,149,9,106,0,0,0,0,2,106,0,106,0,106,3,106,4
P.H.O.L. - London, 1,635,195,406,52,2024-01-06,20,5,55,1,406,25,320,0,0,0,0,5,320,0,320,5,320,16,320,13
P.H.O.L. - Orillia, 1,39,9,78,16,2024-01-06,1,3,20,0,78,4,78,0,0,0,0,4,78,2,78,1,78,6,78,2
P.H.O.L. - Ottawa, 1,321,112,266,36,2024-01-06,1,11,37,0,266,6,202,0,0,0,0,3,202,0,202,4,202,10,202,6
P.H.O.L. - Peterborough, 1,89,25,98,66,2024-01-06,62,0,10,2,98,6,84,0,0,0,0,3,84,3,84,3,84,5,84,3
P.H.O.L. - Sault Ste. Marie, 1,45,13,59,14,2024-01-06,0,7,17,0,59,7,41,0,0,0,0,0,41,0,41,0,41,1,41,0
P.H.O.L. - Sudbury, 1,20,1,25,4,2024-01-06,0,0,4,0,25,0,23,0,0,0,0,1,23,0,23,0,23,1,23,0
P.H.O.L. - Thunder Bay, 1,82,10,55,9,2024-01-06,0,1,3,0,55,4,40,0,0,0,0,2,40,0,40,1,40,0,40,0
P.H.O.L. - Timmins, 1,27,7,37,2,2024-01-06,1,3,5,0,37,8,32,0,0,0,0,0,32,0,32,1,32,0,32,0
P.H.O.L. - Toronto, 1,938,321,1626,132,2024-01-06,192,21,173,8,1626,86,1467,0,0,0,0,45,1467,14,1467,26,1467,70,1467,71
Prairies, 1,10503,1124,9009,562,2024-01-06,50,327,939,127,8409,621,1948,4,3,15,3,0,1948,25,1931,75,1931,103,1971,55
Prince Edward Island, 1,372,26,320,0,2024-01-06,0,103,103,0,320,18,16,0,0,0,0,0,16,0,16,0,16,5,16,0
Province of Ontario, 1,11547,1942,9873,457,2024-01-06,346,707,1157,53,9876,398,7058,1,1,30,1,80,5180,39,7011,75,7011,264,4721,159
Province of Québec, 1,15599,2750,12936,0,2024-01-06,0,2243,2243,31,9643,691,2031,3,0,10,0,0,2032,43,2033,43,N.C.,N.C.,1835,38
Québec-Chaudière-Appalaches, 1,2431,407,2454,0,2024-01-06,0,564,564,2,2378,231,877,0,0,0,0,0,878,22,877,14,N.C.,N.C.,681,10
Région Nord-Est, 1,2537,316,2423,0,2024-01-06,0,575,575,4,1142,70,104,0,0,2,0,0,104,2,104,1,N.C.,N.C.,104,3
Saskatchewan, 1,2357,254,1819,0,2024-01-06,0,124,124,36,1548,84,498,1,2,3,3,0,498,4,498,69,498,41,498,15
Sault Area Hospital, 1,226,25,168,12,2024-01-06,0,7,19,0,168,19,168,1,0,1,0,0,119,3,119,0,119,9,119,0
Shared Hospital Laboratory, 1,2279,208,1840,69,2024-01-06,52,55,176,6,1843,39,1829,0,0,0,0,13,0,0,1831,9,1831,28,1831,43
Sick Kids Hospital - Toronto, 1,129,14,110,7,2024-01-06,6,0,13,1,110,12,110,0,1,1,0,0,110,2,110,2,110,10,110,2
St. Joseph's - Hamilton, 1,2600,343,2290,0,2024-01-06,0,308,308,14,2290,70,2290,0,0,26,0,0,2290,11,2290,19,2290,85,0,0
St. Joseph's - London, 1,1188,193,855,0,2024-01-06,0,100,100,7,855,52,53,0,0,0,0,0,53,2,53,1,53,5,53,1
Territories, 1,216,18,171,3,2024-01-06,1,33,44,0,171,22,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.R.,N.R.,N.C.,N.C.
UHN / Mount Sinai Hospital, 1,1178,152,875,0,2024-01-06,4,49,53,3,875,12,24,0,0,1,0,0,24,0,24,0,24,0,24,1
Yukon, 1,64,15,52,3,2024-01-06,0,0,10,0,52,6,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
