province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,date,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Alberta, 22,3767,390,2676,8,2024-06-01,11,0,20,39,2541,5,801,6,1,52,0,0,801,6,737,4,789,76,801,28
Atlantic, 22,2577,190,2366,1,2024-06-01,1,3,5,22,2278,24,780,1,7,60,1,0,780,10,780,21,780,122,780,14
British Columbia, 22,2841,312,2769,6,2024-06-01,5,0,40,30,2768,9,688,2,1,63,3,0,688,14,688,19,656,83,656,16
CANADA, 22,22850,1934,20047,27,2024-06-01,28,34,110,181,18457,117,7655,11,10,315,5,142,7687,86,7616,193,6249,685,6266,116
Centre-du-Québec, 22,1251,93,1153,0,2024-06-01,0,1,1,8,584,9,26,0,0,2,0,0,26,3,26,2,N.C.,N.C.,27,1
EORLA, 22,635,29,355,0,2024-06-01,0,0,0,0,355,4,34,0,0,0,0,0,34,0,34,1,34,8,34,1
Manitoba, 22,990,84,786,1,2024-06-01,0,7,8,6,786,1,94,1,0,12,1,0,94,0,94,0,94,24,94,1
Montréal-Laval, 22,1245,81,1174,0,2024-06-01,0,3,3,15,941,11,694,0,1,34,0,0,694,9,695,24,N.C.,N.C.,694,10
Montérégie, 22,796,71,920,0,2024-06-01,0,2,2,6,916,12,3,0,0,0,0,0,3,0,3,0,N.C.,N.C.,3,0
New Brunswick, 22,814,31,800,1,2024-06-01,1,0,2,10,800,4,117,0,3,10,0,0,117,2,117,2,117,17,117,3
Newfoundland, 22,700,85,621,0,2024-06-01,0,3,3,8,621,16,621,1,3,49,1,0,621,8,621,17,621,93,621,10
