province,week,SARS-CoV-2 Test,SARS-CoV-2 Positive,Flu Test,A(H1)pdm09 Positive,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,ADV Test,ADV Positive,HMPV Test,HMPV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Alberta, 50,7124,733,6704,1164,34,95,1706,56,6140,394,1503,6,6,14,0,0,1503,21,1466,0,1486,68,1503,29
Atlantic, 50,4065,756,3363,92,0,336,428,3,3004,254,730,0,4,0,10,0,730,16,730,13,730,57,730,3
British Columbia, 50,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.
CANADA, 50,41700,7796,30444,1552,191,2595,4661,107,26712,1885,8891,10,12,21,17,68,8976,196,8953,116,7361,374,8829,127
Centre-du-Québec, 50,3317,906,1310,0,0,130,130,1,863,99,69,2,0,2,0,0,69,2,69,5,N.C.,N.C.,74,1
EORLA, 50,1836,287,801,0,0,128,128,4,801,48,45,0,0,0,0,0,45,1,45,0,45,5,45,0
Manitoba, 50,2126,313,1499,2,28,244,274,4,1499,47,144,0,1,0,0,0,144,10,155,4,144,10,155,6
Montréal-Laval, 50,4103,1008,2563,0,0,243,243,1,1741,189,787,0,0,4,0,0,787,16,794,16,N.C.,N.C.,787,14
Montérégie, 50,1918,467,1385,0,0,118,118,2,1315,94,3,0,0,0,0,0,3,0,3,0,N.C.,N.C.,3,0
New Brunswick, 50,1488,230,1433,92,0,190,282,1,1408,97,109,0,0,0,1,0,109,6,109,3,109,20,109,1
Newfoundland, 50,718,129,562,0,0,74,74,1,562,30,562,0,4,0,7,0,562,7,562,10,562,28,562,2
Northwest Territories, 50,72,3,71,44,0,0,44,0,71,8,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,71,8,N.C.,N.C.
Nova Scotia, 50,1625,367,1253,0,0,61,61,1,919,117,35,0,0,0,0,0,35,2,35,0,35,4,35,0
Nunavut, 50,221,12,179,0,3,72,75,0,179,16,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.,N.C.
Ouest du Québec, 50,1946,499,618,1,0,99,100,1,611,63,17,0,0,0,0,0,17,3,17,0,N.C.,N.C.,17,0
P.H.O.L. - Hamilton, 50,228,89,154,7,3,0,8,1,154,10,140,0,0,0,0,8,140,5,140,1,140,9,140,5
P.H.O.L. - Kingston, 50,465,188,292,6,1,1,8,0,292,15,179,0,0,0,0,3,179,0,179,0,179,14,179,0
P.H.O.L. - London, 50,472,164,350,28,6,3,20,0,350,44,276,0,0,0,0,7,276,3,276,2,276,18,276,2
P.H.O.L. - Orillia, 50,6,1,51,4,2,0,6,0,49,9,49,0,0,0,0,1,49,1,49,0,49,1,49,0
P.H.O.L. - Ottawa, 50,373,144,323,23,10,8,28,1,322,10,184,0,0,0,0,0,184,0,184,3,184,12,184,1
P.H.O.L. - Peterborough, 50,119,65,125,18,9,0,9,1,125,10,91,0,0,0,0,4,91,1,91,1,91,11,91,2
P.H.O.L. - Sault Ste. Marie, 50,2,0,9,0,0,0,0,0,9,0,9,0,0,0,0,0,9,0,9,0,9,1,9,0
P.H.O.L. - Sudbury, 50,13,1,21,1,0,0,1,0,21,3,15,0,0,0,0,0,15,0,15,0,15,1,15,0
P.H.O.L. - Thunder Bay, 50,49,9,32,7,0,0,1,0,32,1,22,0,0,0,0,1,22,1,22,0,22,2,22,0
P.H.O.L. - Timmins, 50,56,8,67,8,1,0,9,0,67,11,59,0,0,0,0,1,59,0,59,0,59,5,59,0
P.H.O.L. - Toronto, 50,746,250,1387,47,59,10,82,6,1387,87,1311,0,0,0,0,37,1311,27,1311,9,1311,69,1311,35
Prairies, 50,11979,1342,10501,1166,62,905,2546,72,9648,487,2090,6,7,15,3,0,2090,35,2064,36,2073,102,2101,35
Prince Edward Island, 50,234,30,115,0,0,11,11,0,115,10,24,0,0,0,2,0,24,1,24,0,24,5,24,0
